epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,350.746,0.31716,11.5659,0.00701,0.00817,0.65549,0.02722,0.02621,0.28049,8.86955,0.00687,3.69612e-05,3.69612e-05,3.69612e-05
2,678.342,0.27497,9.46681,0.00597,0.29265,0.12959,0.09144,0.08858,0.27424,7.20141,0.00673,6.90797e-05,6.90797e-05,6.90797e-05
3,1004.08,0.26362,7.57793,0.00571,0.30833,0.24717,0.19435,0.18867,0.27744,5.84632,0.00673,9.63143e-05,9.63143e-05,9.63143e-05
4,1332.55,0.25003,6.10287,0.00538,0.28688,0.33537,0.26331,0.25602,0.26204,4.87196,0.00638,8.9022e-05,8.9022e-05,8.9022e-05
5,1660.6,0.242,5.02898,0.0052,0.31101,0.37623,0.30667,0.2975,0.2615,4.22238,0.00636,8.1696e-05,8.1696e-05,8.1696e-05
6,1989.63,0.23306,4.2613,0.00503,0.29773,0.40226,0.32861,0.31861,0.262,3.75548,0.00633,7.437e-05,7.437e-05,7.437e-05
7,2318.67,0.22436,3.66771,0.00481,0.31362,0.42309,0.34787,0.33779,0.25619,3.39803,0.00618,6.7044e-05,6.7044e-05,6.7044e-05
8,2647.26,0.2188,3.22435,0.00468,0.34507,0.41541,0.35943,0.34902,0.25469,3.15621,0.00616,5.9718e-05,5.9718e-05,5.9718e-05
9,2976.2,0.21421,2.90411,0.00458,0.3706,0.40315,0.37199,0.36115,0.25371,2.99439,0.0061,5.2392e-05,5.2392e-05,5.2392e-05
10,3324.51,0.20913,2.64833,0.00447,0.38031,0.4064,0.37864,0.36751,0.25036,2.86387,0.00602,4.5066e-05,4.5066e-05,4.5066e-05
11,3740.94,0.2051,2.43238,0.00438,0.38699,0.39847,0.38287,0.37216,0.2492,2.74867,0.00599,3.774e-05,3.774e-05,3.774e-05
12,4286.27,0.20048,2.24828,0.00429,0.37904,0.41837,0.38658,0.37616,0.25224,2.65355,0.00604,3.0414e-05,3.0414e-05,3.0414e-05
13,6933.82,0.19632,2.10155,0.00418,0.3717,0.42301,0.38762,0.37677,0.24881,2.57691,0.00596,2.3088e-05,2.3088e-05,2.3088e-05
14,7550.24,0.1935,1.99732,0.00412,0.37311,0.42768,0.3868,0.37605,0.24819,2.54169,0.00594,1.5762e-05,1.5762e-05,1.5762e-05
15,12992.6,0.1901,1.93306,0.00404,0.36986,0.43773,0.38773,0.37724,0.24724,2.51632,0.00592,8.436e-06,8.436e-06,8.436e-06
