class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.01522441601779755,13,2
1,고철류/골프채,0.5359090909090909,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.013410194174757284,9,2
4,고철류/전기프라이팬,0.015431735095613042,9,2
5,고철류/주전자,0.06682291666666665,9,3
6,고철류/철옷걸이,0.04125,12,2
7,고철류/프라이팬,0.09340000000000001,9,3
8,나무/기타,0.0130607861936721,13,2
9,나무/나무행거,0.495,9,2
10,나무/도마,0.2475,9,2
11,나무/액자,0.14643333333333333,14,3
12,나무/장식품,0.05105263157894736,12,2
13,나무/주걱,0.028350255804801255,10,2
14,나무/주방용품,0.08817656136772323,12,4
15,나무/포장재,0.012073170731707317,9,2
16,도기류/그릇류,0.12196463306808136,15,3
17,도기류/기타,0.0,6,2
18,도기류/뚝배기,0.2475,9,2
19,도기류/받침,0.00718548387096774,9,2
20,도기류/병,0.0,10,1
21,도기류/장식품,0.5177272727272728,10,2
22,도기류/주전자,0.31892857142857156,9,2
23,도기류/컵,0.49749999999999994,10,2
24,도기류/항아리,0.022275,10,2
25,도기류/화분,0.18423076923076923,10,2
26,비닐/과자봉지,0.22275,9,2
27,비닐/기타,0.019799999999999995,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.5092857142857143,10,2
30,비닐/에어캡,0.6235714285714288,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.01903846153846154,9,2
33,스티로폼/네모트레이,0.0415625,18,3
34,스티로폼/보호재,0.18625000000000003,11,2
35,스티로폼/스티로폼,0.5907500000000001,10,3
36,스티로폼/포장용기,0.0333125,10,3
37,유리병/기타,0.01953635057471264,9,2
38,유리병/기타술병,0.04795907578084998,9,2
39,유리병/맥주병,0.495,9,2
40,유리병/물병,0.2475,9,2
41,유리병/박카스병,0.0,10,2
42,유리병/소주병,0.3117857142857144,9,2
43,유리병/음료수병,0.035367892976588634,9,2
44,유리병/주방용기,0.00853448275862069,9,2
45,의류/기타,0.1614120281404141,5,0
46,의류/기타의류,0.0,9,2
47,의류/레깅스,0.2891666666666666,9,2
48,의류/면의류,0.02357142857142857,9,2
49,의류/상의,0.04125,13,2
50,의류/외투,0.15077702702702706,10,2
51,의류/원피스,0.03535714285714285,9,2
52,의류/하의,0.4455,9,2
53,의류/합성섬유,0.07370370370370369,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.9493478260869566,10,2
56,종이류/상자류,0.005583333333333334,9,3
57,종이류/신문지,0.01546875,9,2
58,종이류/신발상자,0.05500000000000001,9,2
59,종이류/음료수곽,0.020723684210526314,9,2
60,종이류/종이봉투,0.2475,9,2
61,종이류/책자,0.22275,9,2
62,종이류/포장상자,0.015000000000000003,10,2
63,캔류/기타,0.1614120281404141,5,0
64,캔류/맥주캔,0.03300000000000001,10,2
65,캔류/스팸류,0.03807692307692308,9,2
66,캔류/음료수캔,0.02126388888888889,9,2
67,캔류/참기름캔,0.0,9,2
68,캔류/커피캔,0.020249999999999997,10,2
69,캔류/통조림캔,0.0,9,2
70,페트병/기타,0.026255541871921185,9,2
71,페트병/일회용음료수잔,0.038269230769230785,9,2
72,페트병/페트병,0.0792,10,2
73,플라스틱류/기타,0.013750000000000002,11,2
74,플라스틱류/대용량플라스틱통,0.5272580645161289,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.35283783783783784,12,3
77,플라스틱류/욕실용품,0.017551724137931036,11,3
78,플라스틱류/장남감,0.05333333333333332,10,2
79,형광등/LED전구,0.007790697674418605,9,3
80,형광등/기타,0.1614120281404141,14,0
81,형광등/백열전구,0.04920813397129187,10,2
82,형광등/안정기내장형,0.6378571428571431,9,2
83,형광등/직관형,0.1020986971174471,9,2
84,형광등/콤팩트형,0.10608661417322836,11,2
85,형광등/환형,0.9949999999999999,9,2
