class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.0825,13,2
1,고철류/골프채,0.32159713574097143,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.07959999999999998,9,2
4,고철류/전기프라이팬,0.01372413793103448,9,2
5,고철류/주전자,0.027796740994854196,9,3
6,고철류/철옷걸이,0.05500000000000001,12,2
7,고철류/프라이팬,0.19500000000000003,9,3
8,나무/기타,0.01270945945945946,13,2
9,나무/나무행거,0.2475,9,2
10,나무/도마,0.026937830687830684,9,2
11,나무/액자,0.12189617486338797,14,3
12,나무/장식품,0.023271428571428575,12,2
13,나무/주걱,0.020770588235294117,10,2
14,나무/주방용품,0.07876034571491383,12,4
15,나무/포장재,0.02475,9,2
16,도기류/그릇류,0.4167936507936509,15,3
17,도기류/기타,0.09476190476190474,6,2
18,도기류/뚝배기,0.11743055555555552,9,2
19,도기류/받침,0.003344594594594595,9,2
20,도기류/병,0.0,10,1
21,도기류/장식품,0.09635775862068964,10,2
22,도기류/주전자,0.6633333333333333,9,2
23,도기류/컵,0.7450000000000001,10,2
24,도기류/항아리,0.0073032786885245905,10,2
25,도기류/화분,0.2683333333333334,10,2
26,비닐/과자봉지,0.0,9,2
27,비닐/기타,0.07833333333333335,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.18975187969924817,10,2
30,비닐/에어캡,0.5051010101010099,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.012756410256410255,9,2
33,스티로폼/네모트레이,0.07898329959514172,18,3
34,스티로폼/보호재,0.44749999999999995,11,2
35,스티로폼/스티로폼,0.76235,10,3
36,스티로폼/포장용기,0.01709230769230769,10,3
37,유리병/기타,0.029320652173913046,9,2
38,유리병/기타술병,0.460125,9,2
39,유리병/맥주병,0.02511235955056179,9,2
40,유리병/물병,0.02917200854700854,9,2
41,유리병/박카스병,0.005561797752808989,10,2
42,유리병/소주병,0.035730050933786076,9,2
43,유리병/음료수병,0.1421428571428571,9,2
44,유리병/주방용기,0.495,9,2
45,의류/기타,0.15333983458897799,5,0
46,의류/기타의류,0.008425531914893616,9,2
47,의류/레깅스,0.058529411764705865,9,2
48,의류/면의류,0.08619932432432434,9,2
49,의류/상의,0.031587301587301594,13,2
50,의류/외투,0.20708333333333329,10,2
51,의류/원피스,0.0452232142857143,9,2
52,의류/하의,0.007857142857142856,9,2
53,의류/합성섬유,0.5235714285714285,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.5404545454545453,10,2
56,종이류/상자류,0.022333333333333337,9,3
57,종이류/신문지,0.005755813953488372,9,2
58,종이류/신발상자,0.07295113636363637,9,2
59,종이류/음료수곽,0.023888888888888883,9,2
60,종이류/종이봉투,0.495,9,2
61,종이류/책자,0.4955,9,2
62,종이류/포장상자,0.04125,10,2
63,캔류/기타,0.15333983458897799,5,0
64,캔류/맥주캔,0.03693396226415095,10,2
65,캔류/스팸류,0.2580882352941176,9,2
66,캔류/음료수캔,0.11809141791044772,9,2
67,캔류/참기름캔,0.020625,9,2
68,캔류/커피캔,0.0193695652173913,10,2
69,캔류/통조림캔,0.008855338257512169,9,2
70,페트병/기타,0.012040540540540542,9,2
71,페트병/일회용음료수잔,0.009197368421052631,9,2
72,페트병/페트병,0.4455,10,2
73,플라스틱류/기타,0.005380434782608695,11,2
74,플라스틱류/대용량플라스틱통,0.09344155844155846,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.1675,12,3
77,플라스틱류/욕실용품,0.01675151515151515,11,3
78,플라스틱류/장남감,0.011511627906976744,10,2
79,형광등/LED전구,0.026788888888888883,9,3
80,형광등/기타,0.15333983458897799,14,0
81,형광등/백열전구,0.024029069767441853,10,2
82,형광등/안정기내장형,0.2842857142857142,9,2
83,형광등/직관형,0.09921111111111111,9,2
84,형광등/콤팩트형,0.02215596401892729,11,2
85,형광등/환형,0.8283333333333331,9,2
