class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.02357142857142857,13,2
1,고철류/골프채,0.241923076923077,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.19517857142857137,9,2
4,고철류/전기프라이팬,0.01879637770353437,9,2
5,고철류/주전자,0.019558823529411764,9,3
6,고철류/철옷걸이,0.52625,12,2
7,고철류/프라이팬,0.004568181818181818,9,3
8,나무/기타,0.00668918918918919,13,2
9,나무/나무행거,0.12375,9,2
10,나무/도마,0.5384782608695653,9,2
11,나무/액자,0.11447647058823529,14,3
12,나무/장식품,0.02357142857142857,12,2
13,나무/주걱,0.11434615384615383,10,2
14,나무/주방용품,0.12392290886392007,12,4
15,나무/포장재,0.03807692307692308,9,2
16,도기류/그릇류,0.1030203389830509,15,3
17,도기류/기타,0.0,6,2
18,도기류/뚝배기,0.1421428571428571,9,2
19,도기류/받침,0.022873563218390798,9,2
20,도기류/병,0.0,10,1
21,도기류/장식품,0.398,10,2
22,도기류/주전자,0.08291666666666667,9,2
23,도기류/컵,0.6950000000000001,10,2
24,도기류/항아리,0.003251824817518248,10,2
25,도기류/화분,0.12375,10,2
26,비닐/과자봉지,0.003743697478991597,9,2
27,비닐/기타,0.03780024509803922,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.9949999999999999,10,2
30,비닐/에어캡,0.26535714285714274,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.07370370370370369,9,2
33,스티로폼/네모트레이,0.05140789473684211,18,3
34,스티로폼/보호재,0.398,11,2
35,스티로폼/스티로폼,0.5767249999999998,10,3
36,스티로폼/포장용기,0.014026443536024526,10,3
37,유리병/기타,0.015120795107033638,9,2
38,유리병/기타술병,0.026052631578947365,9,2
39,유리병/맥주병,0.5031967213114755,9,2
40,유리병/물병,0.11940816326530612,9,2
41,유리병/박카스병,0.0,10,2
42,유리병/소주병,0.165,9,2
43,유리병/음료수병,0.495,9,2
44,유리병/주방용기,0.10792857142857144,9,2
45,의류/기타,0.14912201119711127,5,0
46,의류/기타의류,0.014048916685280318,9,2
47,의류/레깅스,0.165,9,2
48,의류/면의류,0.04307323943661973,9,2
49,의류/상의,0.02152173913043478,13,2
50,의류/외투,0.29511904761904756,10,2
51,의류/원피스,0.015000000000000003,9,2
52,의류/하의,0.06285714285714285,9,2
53,의류/합성섬유,0.09128676470588239,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.524032258064516,10,2
56,종이류/상자류,0.010151515151515151,9,3
57,종이류/신문지,0.01546875,9,2
58,종이류/신발상자,0.12269999999999999,9,2
59,종이류/음료수곽,0.02521232876712328,9,2
60,종이류/종이봉투,0.5334615384615385,9,2
61,종이류/책자,0.14850000000000002,9,2
62,종이류/포장상자,0.0,10,2
63,캔류/기타,0.14912201119711127,5,0
64,캔류/맥주캔,0.495,10,2
65,캔류/스팸류,0.1115,9,2
66,캔류/음료수캔,0.0891,9,2
67,캔류/참기름캔,0.0,9,2
68,캔류/커피캔,0.017134615384615384,10,2
69,캔류/통조림캔,0.0027966101694915256,9,2
70,페트병/기타,0.0,9,2
71,페트병/일회용음료수잔,0.015546874999999998,9,2
72,페트병/페트병,0.04993805309734513,10,2
73,플라스틱류/기타,0.0032142857142857147,11,2
74,플라스틱류/대용량플라스틱통,0.3030555555555555,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.10049999999999999,12,3
77,플라스틱류/욕실용품,0.013990404119567021,11,3
78,플라스틱류/장남감,0.03419597701149425,10,2
79,형광등/LED전구,0.010045193353005123,9,3
80,형광등/기타,0.14912201119711127,14,0
81,형광등/백열전구,0.03958333333333333,10,2
82,형광등/안정기내장형,0.16954040404040405,9,2
83,형광등/직관형,0.10535294117647057,9,2
84,형광등/콤팩트형,0.007615384615384616,11,2
85,형광등/환형,0.6950000000000001,9,2
