class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.0061111111111111106,13,2
1,고철류/골프채,0.8283333333333331,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.04684885290148448,9,2
4,고철류/전기프라이팬,0.073533692722372,9,2
5,고철류/주전자,0.041839887078044286,9,3
6,고철류/철옷걸이,0.19833333333333328,12,2
7,고철류/프라이팬,0.2766357142857144,9,3
8,나무/기타,0.005051020408163265,13,2
9,나무/나무행거,0.449625,9,2
10,나무/도마,0.12375,9,2
11,나무/액자,0.21147523041474656,14,3
12,나무/장식품,0.002395161290322581,12,2
13,나무/주걱,0.44749999999999995,10,2
14,나무/주방용품,0.24186983599461,12,4
15,나무/포장재,0.06364285714285714,9,2
16,도기류/그릇류,0.050883333333333336,15,3
17,도기류/기타,0.00951923076923077,6,2
18,도기류/뚝배기,0.028383351007423126,9,2
19,도기류/받침,0.0,9,2
20,도기류/병,0.0,10,1
21,도기류/장식품,0.07583333333333334,10,2
22,도기류/주전자,0.0836590909090909,9,2
23,도기류/컵,0.606111111111111,10,2
24,도기류/항아리,0.018562500000000003,10,2
25,도기류/화분,0.2553260869565217,10,2
26,비닐/과자봉지,0.03182142857142857,9,2
27,비닐/기타,0.495,7,2
28,비닐/리필용기,0.2475,9,2
29,비닐/봉투,0.7283333333333333,10,2
30,비닐/에어캡,0.5154545454545455,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.01463092672413793,9,2
33,스티로폼/네모트레이,0.021267999999999995,18,3
34,스티로폼/보호재,0.4761785714285714,11,2
35,스티로폼/스티로폼,0.5419326923076921,10,3
36,스티로폼/포장용기,0.02843157894736842,10,3
37,유리병/기타,0.030461538461538464,9,2
38,유리병/기타술병,0.07789231927710843,9,2
39,유리병/맥주병,0.10407226019914473,9,2
40,유리병/물병,0.04455,9,2
41,유리병/박카스병,0.0,10,2
42,유리병/소주병,0.04455,9,2
43,유리병/음료수병,0.08863043478260871,9,2
44,유리병/주방용기,0.165,9,2
45,의류/기타,0.16975262835216579,5,0
46,의류/기타의류,0.0,9,2
47,의류/레깅스,0.04734705882352942,9,2
48,의류/면의류,0.07668749999999999,9,2
49,의류/상의,0.0495,13,2
50,의류/외투,0.1809090909090909,10,2
51,의류/원피스,0.039159574468085115,9,2
52,의류/하의,0.495,9,2
53,의류/합성섬유,0.5384782608695653,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.5452499999999999,10,2
56,종이류/상자류,0.021403450363196123,9,3
57,종이류/신문지,0.013026315789473683,9,2
58,종이류/신발상자,0.027500000000000004,9,2
59,종이류/음료수곽,0.019918064516129035,9,2
60,종이류/종이봉투,0.11025,9,2
61,종이류/책자,0.4455,9,2
62,종이류/포장상자,0.013750000000000002,10,2
63,캔류/기타,0.16975262835216579,5,0
64,캔류/맥주캔,0.05458333333333333,10,2
65,캔류/스팸류,0.12437499999999999,9,2
66,캔류/음료수캔,0.4455,9,2
67,캔류/참기름캔,0.013921875,9,2
68,캔류/커피캔,0.0069609375,10,2
69,캔류/통조림캔,0.01337837837837838,9,2
70,페트병/기타,0.03173275862068965,9,2
71,페트병/일회용음료수잔,0.013685294117647063,9,2
72,페트병/페트병,0.4455,10,2
73,플라스틱류/기타,0.02475,11,2
74,플라스틱류/대용량플라스틱통,0.49103296703296706,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.4739285714285713,12,3
77,플라스틱류/욕실용품,0.0,11,3
78,플라스틱류/장남감,0.01010204081632653,10,2
79,형광등/LED전구,0.007239247311827959,9,3
80,형광등/기타,0.16975262835216579,14,0
81,형광등/백열전구,0.028936842105263157,10,2
82,형광등/안정기내장형,0.42749999999999994,9,2
83,형광등/직관형,0.18827991452991452,9,2
84,형광등/콤팩트형,0.03511764705882352,11,2
85,형광등/환형,0.8283333333333331,9,2
