class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.495,13,2
1,고철류/골프채,0.5711755485893415,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.13121794871794873,9,2
4,고철류/전기프라이팬,0.02475,9,2
5,고철류/주전자,0.06462790697674421,9,3
6,고철류/철옷걸이,0.01546875,12,2
7,고철류/프라이팬,0.09946428571428576,9,3
8,나무/기타,0.0034375000000000005,13,2
9,나무/나무행거,0.495,9,2
10,나무/도마,0.2555,9,2
11,나무/액자,0.22132692307692303,14,3
12,나무/장식품,0.01638173343430909,12,2
13,나무/주걱,0.018611111111111113,10,2
14,나무/주방용품,0.12602154451137884,12,4
15,나무/포장재,0.03535714285714285,9,2
16,도기류/그릇류,0.4128730158730159,15,3
17,도기류/기타,0.0,6,2
18,도기류/뚝배기,0.0309375,9,2
19,도기류/받침,0.003942477876106195,9,2
20,도기류/병,0.0,10,1
21,도기류/장식품,0.5294827586206897,10,2
22,도기류/주전자,0.49749999999999994,9,2
23,도기류/컵,0.3078571428571428,10,2
24,도기류/항아리,0.02620588235294118,10,2
25,도기류/화분,0.099,10,2
26,비닐/과자봉지,0.022275,9,2
27,비닐/기타,0.0314075,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.5027922077922078,10,2
30,비닐/에어캡,0.6861111111111111,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.01569051167411823,9,2
33,스티로폼/네모트레이,0.024420090493622253,18,3
34,스티로폼/보호재,0.9949999999999999,11,2
35,스티로폼/스티로폼,0.6178571428571431,10,3
36,스티로폼/포장용기,0.02490476190476191,10,3
37,유리병/기타,0.01546875,9,2
38,유리병/기타술병,0.044407450076804925,9,2
39,유리병/맥주병,0.495,9,2
40,유리병/물병,0.05500000000000001,9,2
41,유리병/박카스병,0.0,10,2
42,유리병/소주병,0.12375,9,2
43,유리병/음료수병,0.04504385964912282,9,2
44,유리병/주방용기,0.2475,9,2
45,의류/기타,0.17304160729270116,5,0
46,의류/기타의류,0.0,9,2
47,의류/레깅스,0.045,9,2
48,의류/면의류,0.2684302325581395,9,2
49,의류/상의,0.495,13,2
50,의류/외투,0.23642857142857135,10,2
51,의류/원피스,0.027500000000000004,9,2
52,의류/하의,0.008909999999999998,9,2
53,의류/합성섬유,0.0813157894736842,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.5069999999999998,10,2
56,종이류/상자류,0.008589743589743593,9,3
57,종이류/신문지,0.0,9,2
58,종이류/신발상자,0.03228947368421052,9,2
59,종이류/음료수곽,0.03245000000000001,9,2
60,종이류/종이봉투,0.05500000000000001,9,2
61,종이류/책자,0.47453225806451604,9,2
62,종이류/포장상자,0.020625,10,2
63,캔류/기타,0.17304160729270116,5,0
64,캔류/맥주캔,0.02963203463203463,10,2
65,캔류/스팸류,0.014558823529411766,9,2
66,캔류/음료수캔,0.03976520438683947,9,2
67,캔류/참기름캔,0.0,9,2
68,캔류/커피캔,0.04455,10,2
69,캔류/통조림캔,0.007279411764705883,9,2
70,페트병/기타,0.0193695652173913,9,2
71,페트병/일회용음료수잔,0.0638679245283019,9,2
72,페트병/페트병,0.22275,10,2
73,플라스틱류/기타,0.01053191489361702,11,2
74,플라스틱류/대용량플라스틱통,0.5039285714285715,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.11166666666666665,12,3
77,플라스틱류/욕실용품,0.04009178743961353,11,3
78,플라스틱류/장남감,0.02475,10,2
79,형광등/LED전구,0.009236506140917906,9,3
80,형광등/기타,0.17304160729270116,14,0
81,형광등/백열전구,0.041146169354838696,10,2
82,형광등/안정기내장형,0.5182558139534884,9,2
83,형광등/직관형,0.40988407258064513,9,2
84,형광등/콤팩트형,0.04035031185031185,11,2
85,형광등/환형,0.9949999999999999,9,2
