class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.099,13,2
1,고철류/골프채,0.8283333333333331,9,2
2,고철류/기타,0.006971830985915492,10,2
3,고철류/비철금속,0.029117647058823533,9,2
4,고철류/전기프라이팬,0.07285714285714287,9,2
5,고철류/주전자,0.08936956521739128,9,3
6,고철류/철옷걸이,0.6090384615384614,12,2
7,고철류/프라이팬,0.02660294117647059,9,3
8,나무/기타,0.029117647058823533,13,2
9,나무/나무행거,0.2475,9,2
10,나무/도마,0.03839831059129305,9,2
11,나무/액자,0.17023510174418605,14,3
12,나무/장식품,0.037547169811320766,12,2
13,나무/주걱,0.1770603877165894,10,2
14,나무/주방용품,0.30333333333333334,12,4
15,나무/포장재,0.099,9,2
16,도기류/그릇류,0.1552164634146342,15,3
17,도기류/기타,0.0,6,2
18,도기류/뚝배기,0.17744827586206896,9,2
19,도기류/받침,0.017678571428571425,9,2
20,도기류/병,0.01316911764705882,10,1
21,도기류/장식품,0.07999999999999999,10,2
22,도기류/주전자,0.7450000000000001,9,2
23,도기류/컵,0.9949999999999999,10,2
24,도기류/항아리,0.0707142857142857,10,2
25,도기류/화분,0.2975,10,2
26,비닐/과자봉지,0.08106923076923078,9,2
27,비닐/기타,0.09258928571428571,7,2
28,비닐/리필용기,0.44733333333333336,9,2
29,비닐/봉투,0.20847826086956528,10,2
30,비닐/에어캡,0.510625,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.0,9,2
33,스티로폼/네모트레이,0.27909461268378327,18,3
34,스티로폼/보호재,0.49749999999999994,11,2
35,스티로폼/스티로폼,0.39614285714285724,10,3
36,스티로폼/포장용기,0.042933723196881095,10,3
37,유리병/기타,0.198,9,2
38,유리병/기타술병,0.09401785714285711,9,2
39,유리병/맥주병,0.49938596491228077,9,2
40,유리병/물병,0.2475,9,2
41,유리병/박카스병,0.011123508844097078,10,2
42,유리병/소주병,0.13433823529411765,9,2
43,유리병/음료수병,0.014142857142857143,9,2
44,유리병/주방용기,0.495,9,2
45,의류/기타,0.1913369053590469,5,0
46,의류/기타의류,0.02084210526315789,9,2
47,의류/레깅스,0.12953781512605042,9,2
48,의류/면의류,0.061342105263157885,9,2
49,의류/상의,0.013750000000000002,13,2
50,의류/외투,0.532037037037037,10,2
51,의류/원피스,0.0836590909090909,9,2
52,의류/하의,0.495,9,2
53,의류/합성섬유,0.17930555555555555,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.5786363636363634,10,2
56,종이류/상자류,0.043137651821862355,9,3
57,종이류/신문지,0.007734375,9,2
58,종이류/신발상자,0.1336153846153846,9,2
59,종이류/음료수곽,0.08291666666666667,9,2
60,종이류/종이봉투,0.2475,9,2
61,종이류/책자,0.4615714285714284,9,2
62,종이류/포장상자,0.012073170731707317,10,2
63,캔류/기타,0.1913369053590469,5,0
64,캔류/맥주캔,0.06758928571428571,10,2
65,캔류/스팸류,0.07141025641025642,9,2
66,캔류/음료수캔,0.03534792833146696,9,2
67,캔류/참기름캔,0.033166666666666664,9,2
68,캔류/커피캔,0.013921875,10,2
69,캔류/통조림캔,0.0020711297071129703,9,2
70,페트병/기타,0.008735294117647058,9,2
71,페트병/일회용음료수잔,0.01715518412058937,9,2
72,페트병/페트병,0.066,10,2
73,플라스틱류/기타,0.006780821917808219,11,2
74,플라스틱류/대용량플라스틱통,0.6199999999999999,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.4109354838709677,12,3
77,플라스틱류/욕실용품,0.024105716335804835,11,3
78,플라스틱류/장남감,0.003344594594594595,10,2
79,형광등/LED전구,0.011232570132013203,9,3
80,형광등/기타,0.1913369053590469,14,0
81,형광등/백열전구,0.13087301587301586,10,2
82,형광등/안정기내장형,0.6633333333333333,9,2
83,형광등/직관형,0.08789084967320261,9,2
84,형광등/콤팩트형,0.03159274193548387,11,2
85,형광등/환형,0.8283333333333331,9,2
