class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.0996875,13,2
1,고철류/골프채,0.8737499999999999,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.06876655052264809,9,2
4,고철류/전기프라이팬,0.013904747005185056,9,2
5,고철류/주전자,0.05660372340425533,9,3
6,고철류/철옷걸이,0.487605263157895,12,2
7,고철류/프라이팬,0.14751684407096174,9,3
8,나무/기타,0.0076230000000000004,13,2
9,나무/나무행거,0.396,9,2
10,나무/도마,0.6235714285714288,9,2
11,나무/액자,0.3379395604395606,14,3
12,나무/장식품,0.00951923076923077,12,2
13,나무/주걱,0.07774157955865273,10,2
14,나무/주방용품,0.2475592391895169,12,4
15,나무/포장재,0.054785714285714285,9,2
16,도기류/그릇류,0.13862708333333335,15,3
17,도기류/기타,0.054716666666666657,6,2
18,도기류/뚝배기,0.1280549450549451,9,2
19,도기류/받침,0.007681034482758621,9,2
20,도기류/병,0.013724137931034483,10,1
21,도기류/장식품,0.47626923076923083,10,2
22,도기류/주전자,0.05620396270396272,9,2
23,도기류/컵,0.4112678571428571,10,2
24,도기류/항아리,0.010865853658536585,10,2
25,도기류/화분,0.5012844827586207,10,2
26,비닐/과자봉지,0.021870188195038498,9,2
27,비닐/기타,0.4824416710457172,7,2
28,비닐/리필용기,0.2575326086956521,9,2
29,비닐/봉투,0.487605263157895,10,2
30,비닐/에어캡,0.7250227272727272,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.010607142857142857,9,2
33,스티로폼/네모트레이,0.03280405405405405,18,3
34,스티로폼/보호재,0.6450000000000001,11,2
35,스티로폼/스티로폼,0.22565,10,3
36,스티로폼/포장용기,0.042559999999999994,10,3
37,유리병/기타,0.06602117647058821,9,2
38,유리병/기타술병,0.0180555781345255,9,2
39,유리병/맥주병,0.1314423076923077,9,2
40,유리병/물병,0.004304347826086956,9,2
41,유리병/박카스병,0.03167368421052631,10,2
42,유리병/소주병,0.17447500000000002,9,2
43,유리병/음료수병,0.005755813953488372,9,2
44,유리병/주방용기,0.3998076923076923,9,2
45,의류/기타,0.19096039884598298,5,0
46,의류/기타의류,0.0,9,2
47,의류/레깅스,0.05550645161290322,9,2
48,의류/면의류,0.4119988120693751,9,2
49,의류/상의,0.111375,13,2
50,의류/외투,0.2415714285714285,10,2
51,의류/원피스,0.03063412139122528,9,2
52,의류/하의,0.09557482014388488,9,2
53,의류/합성섬유,0.4562142857142857,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.3964444444444445,10,2
56,종이류/상자류,0.024537844436693414,9,3
57,종이류/신문지,0.0707142857142857,9,2
58,종이류/신발상자,0.23341666666666674,9,2
59,종이류/음료수곽,0.07274865319865319,9,2
60,종이류/종이봉투,0.07425000000000001,9,2
61,종이류/책자,0.6255,9,2
62,종이류/포장상자,0.014558823529411766,10,2
63,캔류/기타,0.19096039884598298,5,0
64,캔류/맥주캔,0.06261057692307691,10,2
65,캔류/스팸류,0.26462348668280866,9,2
66,캔류/음료수캔,0.09924999999999999,9,2
67,캔류/참기름캔,0.017819999999999996,9,2
68,캔류/커피캔,0.008909999999999998,10,2
69,캔류/통조림캔,0.07425000000000001,9,2
70,페트병/기타,0.011891386554621845,9,2
71,페트병/일회용음료수잔,0.008686132596685084,9,2
72,페트병/페트병,0.09835600982628531,10,2
73,플라스틱류/기타,0.015758802816901413,11,2
74,플라스틱류/대용량플라스틱통,0.6791666666666665,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.2442156862745098,12,3
77,플라스틱류/욕실용품,0.005445224823485693,11,3
78,플라스틱류/장남감,0.15317836257309939,10,2
79,형광등/LED전구,0.05050961538461539,9,3
80,형광등/기타,0.19096039884598298,14,0
81,형광등/백열전구,0.10480681818181821,10,2
82,형광등/안정기내장형,0.92025,9,2
83,형광등/직관형,0.15803930714817202,9,2
84,형광등/콤팩트형,0.005917165586812106,11,2
85,형광등/환형,0.8870833333333333,9,2
