class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.017819999999999996,13,2
1,고철류/골프채,0.5580624999999999,9,2
2,고철류/기타,0.0028557692307692303,10,2
3,고철류/비철금속,0.04124211915535445,9,2
4,고철류/전기프라이팬,0.07921691176470591,9,2
5,고철류/주전자,0.13151537819799777,9,3
6,고철류/철옷걸이,0.4770833333333333,12,2
7,고철류/프라이팬,0.05544444444444445,9,3
8,나무/기타,0.010865853658536585,13,2
9,나무/나무행거,0.13539800000000005,9,2
10,나무/도마,0.5811428571428573,9,2
11,나무/액자,0.34819766214177983,14,3
12,나무/장식품,0.011511627906976744,12,2
13,나무/주걱,0.4629418604651163,10,2
14,나무/주방용품,0.17248322978341535,12,4
15,나무/포장재,0.06499999999999997,9,2
16,도기류/그릇류,0.05684824561403508,15,3
17,도기류/기타,0.04657552693208431,6,2
18,도기류/뚝배기,0.08528571428571427,9,2
19,도기류/받침,0.02475,9,2
20,도기류/병,0.1002158273381295,10,1
21,도기류/장식품,0.1653875,10,2
22,도기류/주전자,0.041059322033898296,9,2
23,도기류/컵,0.3406237960692326,10,2
24,도기류/항아리,0.014229965156794427,10,2
25,도기류/화분,0.17200782051282046,10,2
26,비닐/과자봉지,0.08955975609756098,9,2
27,비닐/기타,0.4455,7,2
28,비닐/리필용기,0.5343896103896102,9,2
29,비닐/봉투,0.24849999999999994,10,2
30,비닐/에어캡,0.6631666666666665,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.03988951800232288,9,2
33,스티로폼/네모트레이,0.13288011695906435,18,3
34,스티로폼/보호재,0.8960051020408164,11,2
35,스티로폼/스티로폼,0.8712500000000002,10,3
36,스티로폼/포장용기,0.06677459016393443,10,3
37,유리병/기타,0.04040150842945875,9,2
38,유리병/기타술병,0.02690983606557377,9,2
39,유리병/맥주병,0.06415636882129279,9,2
40,유리병/물병,0.07170134228187917,9,2
41,유리병/박카스병,0.03426923076923077,10,2
42,유리병/소주병,0.07992622950819674,9,2
43,유리병/음료수병,0.05694766505636071,9,2
44,유리병/주방용기,0.020549019607843146,9,2
45,의류/기타,0.18779078006942881,5,0
46,의류/기타의류,0.013695809659090914,9,2
47,의류/레깅스,0.07174038461538464,9,2
48,의류/면의류,0.14187790697674418,9,2
49,의류/상의,0.2089,13,2
50,의류/외투,0.07102058823529414,10,2
51,의류/원피스,0.03165291607396871,9,2
52,의류/하의,0.5740714285714288,9,2
53,의류/합성섬유,0.4455,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.45789977540707466,10,2
56,종이류/상자류,0.16866826923076925,9,3
57,종이류/신문지,0.04473800813008129,9,2
58,종이류/신발상자,0.17804166666666663,9,2
59,종이류/음료수곽,0.03894166666666666,9,2
60,종이류/종이봉투,0.06367999999999997,9,2
61,종이류/책자,0.696871485943775,9,2
62,종이류/포장상자,0.0495,10,2
63,캔류/기타,0.18779078006942881,5,0
64,캔류/맥주캔,0.15553125000000004,10,2
65,캔류/스팸류,0.45158108108108114,9,2
66,캔류/음료수캔,0.06633333333333331,9,2
67,캔류/참기름캔,0.0037714285714285714,9,2
68,캔류/커피캔,0.010124999999999999,10,2
69,캔류/통조림캔,0.09923239436619719,9,2
70,페트병/기타,0.01210135135135135,9,2
71,페트병/일회용음료수잔,0.007687369567189911,9,2
72,페트병/페트병,0.05869540229885056,10,2
73,플라스틱류/기타,0.002784375,11,2
74,플라스틱류/대용량플라스틱통,0.48548969534050174,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.27772058823529416,12,3
77,플라스틱류/욕실용품,0.03311551886754366,11,3
78,플라스틱류/장남감,0.44912694300518147,10,2
79,형광등/LED전구,0.02784375,9,3
80,형광등/기타,0.18779078006942881,14,0
81,형광등/백열전구,0.014882179054054057,10,2
82,형광등/안정기내장형,0.5680739130434782,9,2
83,형광등/직관형,0.0992001198458945,9,2
84,형광등/콤팩트형,0.030497320596458526,11,2
85,형광등/환형,0.8955,9,2
