class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.0,13,2
1,고철류/골프채,0.9283333333333333,9,2
2,고철류/기타,0.04062499999999998,10,2
3,고철류/비철금속,0.0,9,2
4,고철류/전기프라이팬,0.28596153846153843,9,2
5,고철류/주전자,0.011917982155113246,9,3
6,고철류/철옷걸이,0.5253030303030303,12,2
7,고철류/프라이팬,0.445,9,3
8,나무/기타,0.01128904443279578,13,2
9,나무/나무행거,0.07668749999999999,9,2
10,나무/도마,0.24874999999999997,9,2
11,나무/액자,0.21362516345210855,14,3
12,나무/장식품,0.00868421052631579,12,2
13,나무/주걱,0.04829225352112677,10,2
14,나무/주방용품,0.09295297619047621,12,4
15,나무/포장재,0.04843749999999998,9,2
16,도기류/그릇류,0.15381250000000002,15,3
17,도기류/기타,0.07653846153846157,6,2
18,도기류/뚝배기,0.08552579365079369,9,2
19,도기류/받침,0.152625,9,2
20,도기류/병,0.8966705882352942,10,1
21,도기류/장식품,0.10399999999999998,10,2
22,도기류/주전자,0.053628440366972494,9,2
23,도기류/컵,0.09211538461538461,10,2
24,도기류/항아리,0.31892857142857156,10,2
25,도기류/화분,0.33166666666666667,10,2
26,비닐/과자봉지,0.018381880733944957,9,2
27,비닐/기타,0.495,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.495,10,2
30,비닐/에어캡,0.010473684210526314,9,2
31,비닐/일회용덮개,0.132,9,2
32,비닐/포장제,0.030679012345679026,9,2
33,스티로폼/네모트레이,0.5220833333333335,18,3
34,스티로폼/보호재,0.7450000000000001,11,2
35,스티로폼/스티로폼,0.7206874999999999,10,3
36,스티로폼/포장용기,0.1227650638317845,10,3
37,유리병/기타,0.0887813953488372,9,2
38,유리병/기타술병,0.2592692307692307,9,2
39,유리병/맥주병,0.04422222222222222,9,2
40,유리병/물병,0.015010975609756103,9,2
41,유리병/박카스병,0.16754777070063698,10,2
42,유리병/소주병,0.1971428571428572,9,2
43,유리병/음료수병,0.012728571428571428,9,2
44,유리병/주방용기,0.014558823529411766,9,2
45,의류/기타,0.1989830239877973,5,0
46,의류/기타의류,0.026902173913043476,9,2
47,의류/레깅스,0.0855340909090909,9,2
48,의류/면의류,0.022875264270613115,9,2
49,의류/상의,0.06862068965517241,13,2
50,의류/외투,0.2842857142857142,10,2
51,의류/원피스,0.5318181818181816,9,2
52,의류/하의,0.5099253731343282,9,2
53,의류/합성섬유,0.1540530303030303,9,2
54,종이류/기타,0.04125,9,2
55,종이류/노트,0.8283333333333331,10,2
56,종이류/상자류,0.06505919661733614,9,3
57,종이류/신문지,0.015967741935483868,9,2
58,종이류/신발상자,0.05497232142857141,9,2
59,종이류/음료수곽,0.057675646551724136,9,2
60,종이류/종이봉투,0.5809848484848483,9,2
61,종이류/책자,0.009281250000000001,9,2
62,종이류/포장상자,0.019094202898550728,10,2
63,캔류/기타,0.1989830239877973,5,0
64,캔류/맥주캔,0.006364285714285714,10,2
65,캔류/스팸류,0.44749999999999995,9,2
66,캔류/음료수캔,0.003507874015748031,9,2
67,캔류/참기름캔,0.0495,9,2
68,캔류/커피캔,0.005210526315789474,10,2
69,캔류/통조림캔,0.495,9,2
70,페트병/기타,0.020918076923076914,9,2
71,페트병/일회용음료수잔,0.005892857142857142,9,2
72,페트병/페트병,0.0235,10,2
73,플라스틱류/기타,0.034592198581560304,11,2
74,플라스틱류/대용량플라스틱통,0.5423684210526318,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.007976190476190475,12,3
77,플라스틱류/욕실용품,0.01400126839167935,11,3
78,플라스틱류/장남감,0.21750568181818175,10,2
79,형광등/LED전구,0.06003088803088803,9,3
80,형광등/기타,0.1989830239877973,14,0
81,형광등/백열전구,0.015347989487076469,10,2
82,형광등/안정기내장형,0.199,9,2
83,형광등/직관형,0.1242546296296296,9,2
84,형광등/콤팩트형,0.053783783783783776,11,2
85,형광등/환형,0.9949999999999999,9,2
