class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.03182142857142857,13,2
1,고철류/골프채,0.7454999999999998,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.014142857142857141,9,2
4,고철류/전기프라이팬,0.16187727272727273,9,2
5,고철류/주전자,0.06082142857142855,9,3
6,고철류/철옷걸이,0.25033620689655184,12,2
7,고철류/프라이팬,0.18822949054777477,9,3
8,나무/기타,0.004842391304347825,13,2
9,나무/나무행거,0.14850000000000002,9,2
10,나무/도마,0.1602902960526315,9,2
11,나무/액자,0.4627726291079813,14,3
12,나무/장식품,0.03300000000000001,12,2
13,나무/주걱,0.3946428571428572,10,2
14,나무/주방용품,0.1332980769230769,12,4
15,나무/포장재,0.020988764044943816,9,2
16,도기류/그릇류,0.3974710144927536,15,3
17,도기류/기타,0.0814090909090909,6,2
18,도기류/뚝배기,0.18086785714285716,9,2
19,도기류/받침,0.0193695652173913,9,2
20,도기류/병,0.0,10,1
21,도기류/장식품,0.4568924050632912,10,2
22,도기류/주전자,0.24681818181818183,9,2
23,도기류/컵,0.40275,10,2
24,도기류/항아리,0.035594614822928076,10,2
25,도기류/화분,0.524032258064516,10,2
26,비닐/과자봉지,0.07275310559006212,9,2
27,비닐/기타,0.4469142857142857,7,2
28,비닐/리필용기,0.24492503924646777,9,2
29,비닐/봉투,0.4955000000000001,10,2
30,비닐/에어캡,0.2313333333333333,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.02489748475609756,9,2
33,스티로폼/네모트레이,0.27194117647058824,18,3
34,스티로폼/보호재,0.5579999999999999,11,2
35,스티로폼/스티로폼,0.6918124999999999,10,3
36,스티로폼/포장용기,0.060972222222222226,10,3
37,유리병/기타,0.10994102564102563,9,2
38,유리병/기타술병,0.45263333333333344,9,2
39,유리병/맥주병,0.0889,9,2
40,유리병/물병,0.11003246753246751,9,2
41,유리병/박카스병,0.0033750000000000004,10,2
42,유리병/소주병,0.2051875,9,2
43,유리병/음료수병,0.018798780487804877,9,2
44,유리병/주방용기,0.12137499999999998,9,2
45,의류/기타,0.18945437641703197,5,0
46,의류/기타의류,0.013655172413793104,9,2
47,의류/레깅스,0.11821428571428567,9,2
48,의류/면의류,0.19173029144768278,9,2
49,의류/상의,0.10501923076923078,13,2
50,의류/외투,0.17790000000000003,10,2
51,의류/원피스,0.04944974131559497,9,2
52,의류/하의,0.4646489361702126,9,2
53,의류/합성섬유,0.4527000000000001,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.4407538194444444,10,2
56,종이류/상자류,0.04756129503407985,9,3
57,종이류/신문지,0.05003804347826087,9,2
58,종이류/신발상자,0.08950000000000001,9,2
59,종이류/음료수곽,0.08207500000000001,9,2
60,종이류/종이봉투,0.4455,9,2
61,종이류/책자,0.6207500000000001,9,2
62,종이류/포장상자,0.099,10,2
63,캔류/기타,0.18945437641703197,5,0
64,캔류/맥주캔,0.028646291521310485,10,2
65,캔류/스팸류,0.04455,9,2
66,캔류/음료수캔,0.11658403361344538,9,2
67,캔류/참기름캔,0.02357697478991597,9,2
68,캔류/커피캔,0.02267088607594937,10,2
69,캔류/통조림캔,0.06364285714285714,9,2
70,페트병/기타,0.005639240506329113,9,2
71,페트병/일회용음료수잔,0.0017272167487684732,9,2
72,페트병/페트병,0.2879888888888889,10,2
73,플라스틱류/기타,0.002837579617834395,11,2
74,플라스틱류/대용량플라스틱통,0.4466874999999999,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.14826799999999998,12,3
77,플라스틱류/욕실용품,0.022292720367993152,11,3
78,플라스틱류/장남감,0.0071573501173458525,10,2
79,형광등/LED전구,0.017792405063291133,9,3
80,형광등/기타,0.18945437641703197,14,0
81,형광등/백열전구,0.1396442495126706,10,2
82,형광등/안정기내장형,0.49910317460317455,9,2
83,형광등/직관형,0.12787903225806446,9,2
84,형광등/콤팩트형,0.008468085106382979,11,2
85,형광등/환형,0.8955,9,2
