class_name,train,val,total
고철류/고철,13,2,15
고철류/골프채,9,2,11
고철류/기타,10,2,12
고철류/비철금속,9,2,11
고철류/전기프라이팬,9,2,11
고철류/주전자,9,3,12
고철류/철옷걸이,12,2,14
고철류/프라이팬,9,3,12
나무/기타,13,2,15
나무/나무행거,9,2,11
나무/도마,9,2,11
나무/액자,14,3,17
나무/장식품,12,2,14
나무/주걱,10,2,12
나무/주방용품,12,4,16
나무/포장재,9,2,11
도기류/그릇류,15,3,18
도기류/기타,6,2,8
도기류/뚝배기,9,2,11
도기류/받침,9,2,11
도기류/병,10,1,11
도기류/장식품,10,2,12
도기류/주전자,9,2,11
도기류/컵,10,2,12
도기류/항아리,10,2,12
도기류/화분,10,2,12
비닐/과자봉지,9,2,11
비닐/기타,7,2,9
비닐/리필용기,9,2,11
비닐/봉투,10,2,12
비닐/에어캡,9,2,11
비닐/일회용덮개,9,2,11
비닐/포장제,9,2,11
스티로폼/네모트레이,18,3,21
스티로폼/보호재,11,2,13
스티로폼/스티로폼,10,3,13
스티로폼/포장용기,10,3,13
유리병/기타,9,2,11
유리병/기타술병,9,2,11
유리병/맥주병,9,2,11
유리병/물병,9,2,11
유리병/박카스병,10,2,12
유리병/소주병,9,2,11
유리병/음료수병,9,2,11
유리병/주방용기,9,2,11
의류/기타,5,0,5
의류/기타의류,9,2,11
의류/레깅스,9,2,11
의류/면의류,9,2,11
의류/상의,13,2,15
의류/외투,10,2,12
의류/원피스,9,2,11
의류/하의,9,2,11
의류/합성섬유,9,2,11
종이류/기타,9,2,11
종이류/노트,10,2,12
종이류/상자류,9,3,12
종이류/신문지,9,2,11
종이류/신발상자,9,2,11
종이류/음료수곽,9,2,11
종이류/종이봉투,9,2,11
종이류/책자,9,2,11
종이류/포장상자,10,2,12
캔류/기타,5,0,5
캔류/맥주캔,10,2,12
캔류/스팸류,9,2,11
캔류/음료수캔,9,2,11
캔류/참기름캔,9,2,11
캔류/커피캔,10,2,12
캔류/통조림캔,9,2,11
페트병/기타,9,2,11
페트병/일회용음료수잔,9,2,11
페트병/페트병,10,2,12
플라스틱류/기타,11,2,13
플라스틱류/대용량플라스틱통,16,2,18
플라스틱류/밀폐용기,18,2,20
플라스틱류/바구니,12,3,15
플라스틱류/욕실용품,11,3,14
플라스틱류/장남감,10,2,12
형광등/LED전구,9,3,12
형광등/기타,14,0,14
형광등/백열전구,10,2,12
형광등/안정기내장형,9,2,11
형광등/직관형,9,2,11
형광등/콤팩트형,11,2,13
형광등/환형,9,2,11
