class_id,class_name,baseline_mAP50_95,best_mAP50_95,train,val,delta
0,고철류/고철,0.0323653846153846,0.0,13,2,-0.0323653846153846
1,고철류/골프채,0.7949999999999998,0.802142857142857,9,2,0.0071428571428572285
2,고철류/기타,0.0025515463917525,0.0205212355212355,10,2,0.017969689129483
3,고철류/비철금속,0.026566793200198,0.0108264705882352,9,2,-0.0157403226119628
4,고철류/전기프라이팬,0.1983333333333333,0.1846078431372549,9,2,-0.01372549019607841
5,고철류/주전자,0.1209090909090909,0.0626893939393939,9,3,-0.05821969696969699
6,고철류/철옷걸이,0.5146078431372548,0.6616666666666668,12,2,0.14705882352941202
7,고철류/프라이팬,0.3533333333333334,0.665,9,3,0.31166666666666665
8,나무/기타,0.0089999999999999,0.008641456582633,13,2,-0.0003585434173669008
9,나무/나무행거,0.2608333333333333,0.0808064516129032,9,2,-0.1800268817204301
10,나무/도마,0.3316666666666666,0.2104545454545455,9,2,-0.1212121212121211
11,나무/액자,0.373125,0.1823994252873563,14,3,-0.19072557471264368
12,나무/장식품,0.0260526315789473,0.0067458052240096,12,2,-0.0193068263549377
13,나무/주걱,0.4554,0.273425925925926,10,2,-0.181974074074074
14,나무/주방용품,0.3931089743589744,0.2486373765932259,12,4,-0.1444715977657485
15,나무/포장재,0.080474828375286,0.0431249999999999,9,2,-0.037349828375286095
16,도기류/그릇류,0.2379928571428571,0.0150347834811998,15,3,-0.2229580736616573
17,도기류/기타,0.2020370370370369,0.012375,6,2,-0.1896620370370369
18,도기류/뚝배기,0.0679848484848484,0.0409858490566037,9,2,-0.0269989994282447
19,도기류/받침,0.34265,0.495,9,2,0.15234999999999999
20,도기류/병,0.995,0.0596999999999999,10,1,-0.9353000000000001
21,도기류/장식품,0.2237499999999999,0.0270772946859903,10,2,-0.1966727053140096
22,도기류/주전자,0.1146428571428571,0.1087826086956521,9,2,-0.005860248447205008
23,도기류/컵,0.6633333333333333,0.2845370370370372,10,2,-0.37879629629629613
24,도기류/항아리,0.0416071428571428,0.1530769230769231,10,2,0.11146978021978031
25,도기류/화분,0.3071532258064516,0.4605597826086957,10,2,0.15340655680224408
26,비닐/과자봉지,0.0439811196003526,0.0334639468690702,9,2,-0.010517172731282401
27,비닐/기타,0.5039285714285715,0.5110714285714284,7,2,0.0071428571428568954
28,비닐/리필용기,0.1320144628099173,0.1816666666666667,9,2,0.0496522038567494
29,비닐/봉투,0.1340169910410874,0.165,10,2,0.030983008958912595
30,비닐/에어캡,0.6378571428571431,0.5828749999999999,9,2,-0.0549821428571432
31,비닐/일회용덮개,0.0,0.0,9,2,0.0
32,비닐/포장제,0.0414583333333333,0.0757638888888888,9,2,0.0343055555555555
33,스티로폼/네모트레이,0.4279823529411765,0.72,18,3,0.2920176470588235
34,스티로폼/보호재,0.6616666666666668,0.5719230769230769,11,2,-0.08974358974358998
35,스티로폼/스티로폼,0.7305714285714288,0.5131999999999999,10,3,-0.21737142857142888
36,스티로폼/포장용기,0.0500059800664451,0.0193006818181818,10,3,-0.030705298248263298
37,유리병/기타,0.0368099999999999,0.0484415384615384,9,2,0.011631538461538499
38,유리병/기타술병,0.1589306318681319,0.2841428571428571,9,2,0.1252122252747252
39,유리병/맥주병,0.165,0.2845370370370372,9,2,0.11953703703703719
40,유리병/물병,0.0212846889952153,0.0,9,2,-0.0212846889952153
41,유리병/박카스병,0.0049499999999999,0.4969933554817275,10,2,0.4920433554817276
42,유리병/소주병,0.3760714285714284,0.2644811320754717,9,2,-0.1115902964959567
43,유리병/음료수병,0.0388068181818181,0.5244117647058825,9,2,0.4856049465240644
44,유리병/주방용기,0.0866666666666666,0.495,9,2,0.4083333333333334
45,의류/기타,0.2119456577362829,0.2343790207869948,5,0,0.02243336305071189
46,의류/기타의류,0.0495,0.0127285714285714,9,2,-0.0367714285714286
47,의류/레깅스,0.2842857142857142,0.0175237813607853,9,2,-0.2667619329249289
48,의류/면의류,0.5063636363636366,0.0495,9,2,-0.4568636363636366
49,의류/상의,0.215,0.2842857142857142,13,2,0.0692857142857142
50,의류/외투,0.1101111111111111,0.3725,10,2,0.2623888888888889
51,의류/원피스,0.07125,0.4806666666666666,9,2,0.4094166666666666
52,의류/하의,0.6378571428571431,0.0377370129870129,9,2,-0.6001201298701302
53,의류/합성섬유,0.2550187969924812,0.1962499999999999,9,2,-0.058768796992481304
54,종이류/기타,0.0,0.0098999999999999,9,2,0.0098999999999999
55,종이류/노트,0.9464084507042252,0.6616666666666668,10,2,-0.28474178403755834
56,종이류/상자류,0.1417287784679088,0.185,9,3,0.0432712215320912
57,종이류/신문지,0.0251927027027027,0.0098999999999999,9,2,-0.015292702702702799
58,종이류/신발상자,0.2215384615384616,0.0621874999999999,9,2,-0.1593509615384617
59,종이류/음료수곽,0.0984920634920634,0.6378571428571431,9,2,0.5393650793650797
60,종이류/종이봉투,0.0951582278481012,0.5294827586206897,9,2,0.43432453077258854
61,종이류/책자,0.24775,0.037125,9,2,-0.210625
62,종이류/포장상자,0.0039919354838709,0.0062658227848101,10,2,0.0022738873009391994
63,캔류/기타,0.2119456577362829,0.2343790207869948,5,0,0.02243336305071189
64,캔류/맥주캔,0.0451691216584833,0.0917052631578947,10,2,0.046536141499411404
65,캔류/스팸류,0.0925,0.4474999999999999,9,2,0.35499999999999987
66,캔류/음료수캔,0.0504130544270221,0.07501171875,9,2,0.0245986643229779
67,캔류/참기름캔,0.0585428571428571,0.0018965517241379,9,2,-0.0566463054187192
68,캔류/커피캔,0.0528585365853658,0.4455,10,2,0.3926414634146342
69,캔류/통조림캔,0.0190384615384615,0.2475,9,2,0.2284615384615385
70,페트병/기타,0.0039776785714285,0.0088583916083916,9,2,0.004880713036963099
71,페트병/일회용음료수잔,0.0301746323529411,0.0165,9,2,-0.013674632352941099
72,페트병/페트병,0.0418947368421052,0.0398,10,2,-0.002094736842105198
73,플라스틱류/기타,0.0182321221171395,0.0105072463768115,11,2,-0.007724875740327999
74,플라스틱류/대용량플라스틱통,0.0406578947368421,0.5505555555555556,16,2,0.5098976608187135
75,플라스틱류/밀폐용기,0.0,0.0,18,2,0.0
76,플라스틱류/바구니,0.0916934426229508,0.0233333333333333,12,3,-0.0683601092896175
77,플라스틱류/욕실용품,0.0190632113821138,0.0223905367231638,11,3,0.0033273253410499998
78,플라스틱류/장남감,0.0445711500974658,0.7450000000000001,10,2,0.7004288499025343
79,형광등/LED전구,0.0378131005173687,0.4920000000000001,9,3,0.4541868994826314
80,형광등/기타,0.2119456577362829,0.2343790207869948,14,0,0.02243336305071189
81,형광등/백열전구,0.2529054054054054,0.0978479240363137,10,2,-0.1550574813690917
82,형광등/안정기내장형,0.1994827586206896,0.2487499999999999,9,2,0.049267241379310295
83,형광등/직관형,0.1485510610079575,0.4889230769230769,9,2,0.3403720159151194
84,형광등/콤팩트형,0.0178199999999999,0.0898770491803278,11,2,0.0720570491803279
85,형광등/환형,0.995,0.8283333333333331,9,2,-0.16666666666666685
