epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,333.121,0.31322,8.98002,0.00686,0.01814,0.52059,0.03481,0.03347,0.30134,6.34961,0.00742,0.0013911,0.0013911,0.073167
2,664.157,0.32509,6.1189,0.00717,0.25008,0.19242,0.1508,0.14376,0.35005,4.59976,0.00877,0.002764,0.002764,0.0462861
3,994.59,0.35503,4.51541,0.00785,0.29486,0.3423,0.25024,0.23826,0.35688,3.63006,0.00873,0.00405956,0.00405956,0.0193279
4,1324.54,0.36246,3.55217,0.00802,0.3504,0.37442,0.31562,0.30036,0.34057,3.06549,0.00836,0.00462326,0.00462326,0.0046529
5,1654.93,0.35406,2.76285,0.00778,0.34502,0.45066,0.38469,0.36771,0.33825,2.4229,0.00836,0.00440187,0.00440187,0.00440187
6,1985.68,0.32957,2.13799,0.0072,0.39269,0.45717,0.41255,0.39271,0.3397,2.14637,0.00821,0.00413255,0.00413255,0.00413255
7,2317.45,0.30527,1.6611,0.00667,0.42203,0.49442,0.43278,0.41369,0.33467,1.83446,0.00831,0.00382844,0.00382844,0.00382844
8,2648.65,0.28809,1.29993,0.00625,0.41279,0.50434,0.461,0.44132,0.30339,1.7224,0.00748,0.00350281,0.00350281,0.00350281
9,2979.44,0.27126,1.05505,0.00587,0.47218,0.51623,0.48069,0.46309,0.2952,1.74019,0.00723,0.00316992,0.00316992,0.00316992
10,3308.77,0.25457,0.84405,0.00547,0.51161,0.51854,0.5158,0.49539,0.29582,1.57876,0.00721,0.00284429,0.00284429,0.00284429
11,3638.36,0.24355,0.64966,0.00523,0.48413,0.52476,0.50997,0.49261,0.28886,1.66201,0.00707,0.00254018,0.00254018,0.00254018
12,3968.62,0.23143,0.4785,0.00498,0.51644,0.55226,0.5397,0.52185,0.27576,1.689,0.00671,0.00227086,0.00227086,0.00227086
13,4298.69,0.2204,0.36537,0.00474,0.52743,0.54516,0.53426,0.51518,0.28493,1.83694,0.00697,0.00204811,0.00204811,0.00204811
14,4628.38,0.20863,0.29009,0.00447,0.54934,0.55905,0.53677,0.51777,0.28117,1.85127,0.00678,0.00188166,0.00188166,0.00188166
15,4958.04,0.20344,0.24574,0.00435,0.56518,0.53025,0.53938,0.52067,0.27648,1.85142,0.00673,0.00177879,0.00177879,0.00177879
