class_id,class_name,mAP50_95
0,고철류/고철,0.8609889436675408
1,고철류/비철금속,0.2558431360888294
2,나무/나무,0.9118034251169378
3,도기류/도기,0.8674649950548992
4,비닐/비닐,0.8708153384331998
5,스티로폼/스티로폼,0.9266215226232857
6,유리병/유리병,0.8920758582264213
7,의류/의류,0.9140463869493074
8,종이류/책,0.962156277333289
9,종이류/박스류,0.8478708792947671
10,종이류/신문지,0.531175837486157
11,종이류/종이,0.526645715335391
12,캔류/캔,0.8841460590281638
13,페트병/페트병,0.7042534099265714
14,플라스틱류/플라스틱,0.7586131963686371
15,플라스틱류/장난감,0.98465
16,형광등/형광등,0.9523147058979593
