class_id,class_name,mAP50_95
0,고철류/고철,0.8515069809296774
1,고철류/비철금속,0.34725493931861967
2,나무/나무,0.9191464812374013
3,도기류/도기,0.8902981212579253
4,비닐/비닐,0.856860687102729
5,스티로폼/스티로폼,0.9390747930855472
6,유리병/유리병,0.8857130331069086
7,의류/의류,0.911747707636264
8,종이류/책,0.9814465693434047
9,종이류/박스류,0.8703065918046177
10,종이류/신문지,0.5452169705469846
11,종이류/종이,0.5321512994277888
12,캔류/캔,0.8794848741717388
13,페트병/페트병,0.6762333513785849
14,플라스틱류/플라스틱,0.7544731239344522
15,플라스틱류/장난감,0.9090236521125019
16,형광등/형광등,0.9404455160049838
