class_id,class_name,mAP50_95
0,고철류/고철,0.6673473830759498
1,고철류/비철금속,0.2313291876212275
2,나무/나무,0.7839436598789015
3,도기류/도기,0.7093146179705702
4,비닐/비닐,0.7376187210811067
5,스티로폼/스티로폼,0.8401468126619547
6,유리병/유리병,0.7476373917131223
7,의류/의류,0.7513465126411337
8,종이류/책,0.8793139042381668
9,종이류/박스류,0.7567247982203829
10,종이류/신문지,0.3863462168396913
11,종이류/종이,0.4019858789767219
12,캔류/캔,0.7567855175608084
13,페트병/페트병,0.5990468120477376
14,플라스틱류/플라스틱,0.60720987591451
15,플라스틱류/장난감,0.7290729783560473
16,형광등/형광등,0.8333653969209575
