class_id,class_name,mAP50_95
0,고철류/고철,0.579315959710861
1,고철류/비철금속,0.16805617591581473
2,나무/나무,0.6221070587014402
3,도기류/도기,0.6750693888034996
4,비닐/비닐,0.6615609257296131
5,스티로폼/스티로폼,0.7840338554316901
6,유리병/유리병,0.6703954128215593
7,의류/의류,0.6995417315862759
8,종이류/책,0.722206941937196
9,종이류/박스류,0.6733665505831266
10,종이류/신문지,0.35695898724338265
11,종이류/종이,0.3629154633251568
12,캔류/캔,0.6809312521782571
13,페트병/페트병,0.4974381828733855
14,플라스틱류/플라스틱,0.5724225353621685
15,플라스틱류/장난감,0.6537448176323328
16,형광등/형광등,0.7327338654830737
