class_id,class_name,mAP50_95
0,고철류/고철,0.8408737461194541
1,고철류/비철금속,0.2590912513720715
2,나무/나무,0.9281335582069353
3,도기류/도기,0.8813213518967068
4,비닐/비닐,0.859801189820297
5,스티로폼/스티로폼,0.9418859720010335
6,유리병/유리병,0.9054906796399724
7,의류/의류,0.9152187382885308
8,종이류/책,0.973803650932215
9,종이류/박스류,0.8708925511797224
10,종이류/신문지,0.7048445085316029
11,종이류/종이,0.600191998314078
12,캔류/캔,0.8841370367089316
13,페트병/페트병,0.6951640524726336
14,플라스틱류/플라스틱,0.7729641339766069
15,플라스틱류/장난감,0.9287992080514765
16,형광등/형광등,0.9528503761359479
