class_id,class_name,mAP50_95
0,고철류/고철,0.8363919105466024
1,고철류/비철금속,0.278429503720212
2,나무/나무,0.9202316424401207
3,도기류/도기,0.8667482492864871
4,비닐/비닐,0.8787276944617182
5,스티로폼/스티로폼,0.9510846713637902
6,유리병/유리병,0.9086879255701718
7,의류/의류,0.9206072717807763
8,종이류/책,0.9412985209307898
9,종이류/박스류,0.8537053271284485
10,종이류/신문지,0.6252777777777778
11,종이류/종이,0.5470596413590293
12,캔류/캔,0.874963491972642
13,페트병/페트병,0.6769330404684123
14,플라스틱류/플라스틱,0.7523551881996912
15,플라스틱류/장난감,0.9234233345512118
16,형광등/형광등,0.9638530383253883
