class_id,class_name,mAP50_95
0,고철류/고철,0.8578595492861079
1,고철류/비철금속,0.1951236233993331
2,나무/나무,0.9278821967444353
3,도기류/도기,0.8791612115585836
4,비닐/비닐,0.8763185247854299
5,스티로폼/스티로폼,0.95446264284832
6,유리병/유리병,0.9018965960307976
7,의류/의류,0.9051363772046097
8,종이류/책,0.9596984331346305
9,종이류/박스류,0.8957399903418436
10,종이류/신문지,0.6134498708950893
11,종이류/종이,0.5333816206754836
12,캔류/캔,0.9079697130277925
13,페트병/페트병,0.7108743883463717
14,플라스틱류/플라스틱,0.7547900789586404
15,플라스틱류/장난감,0.900621816718591
16,형광등/형광등,0.9483899141714975
