class_id,class_name,mAP50_95
0,고철류/고철,0.823271600790657
1,고철류/비철금속,0.18075429907034998
2,나무/나무,0.8621110096038125
3,도기류/도기,0.8896146581497094
4,비닐/비닐,0.8163172886568077
5,스티로폼/스티로폼,0.9452579454259608
6,유리병/유리병,0.8673359766068591
7,의류/의류,0.89688993321098
8,종이류/책,0.9567156366686062
9,종이류/박스류,0.8594860167162681
10,종이류/신문지,0.6310070909162822
11,종이류/종이,0.49373532310483476
12,캔류/캔,0.8949136157820382
13,페트병/페트병,0.6973990593896512
14,플라스틱류/플라스틱,0.7788254561511246
15,플라스틱류/장난감,0.8743820164960898
16,형광등/형광등,0.9347161048899834
