class_id,class_name,mAP50_95
0,고철류/고철,0.8507434585912212
1,고철류/비철금속,0.24307403138837783
2,나무/나무,0.9266403033999436
3,도기류/도기,0.9094438802100673
4,비닐/비닐,0.9254275204760418
5,스티로폼/스티로폼,0.9623605925393329
6,유리병/유리병,0.9115224551261847
7,의류/의류,0.9195708323669987
8,종이류/책,0.9641309441814643
9,종이류/박스류,0.8955007343582801
10,종이류/신문지,0.8260870646766166
11,종이류/종이,0.6889808315891222
12,캔류/캔,0.936771384150957
13,페트병/페트병,0.775940368016034
14,플라스틱류/플라스틱,0.7658740856644385
15,플라스틱류/장난감,0.9204420398823142
16,형광등/형광등,0.9640141452774049
