class_id,class_name,mAP50_95
0,고철류/고철,0.860684301541047
1,고철류/비철금속,0.20283767061159647
2,나무/나무,0.9213991466604678
3,도기류/도기,0.9158781891423045
4,비닐/비닐,0.9301521854745424
5,스티로폼/스티로폼,0.9700518850106503
6,유리병/유리병,0.9240380850536536
7,의류/의류,0.9290597788450923
8,종이류/책,0.9583845596255782
9,종이류/박스류,0.9009055108420749
10,종이류/신문지,0.7840833333333332
11,종이류/종이,0.6613700385354218
12,캔류/캔,0.9485232807104451
13,페트병/페트병,0.7851873235088032
14,플라스틱류/플라스틱,0.7683504224346069
15,플라스틱류/장난감,0.935477340694732
16,형광등/형광등,0.9576077449242437
