class_id,class_name,mAP50_95
0,고철류/고철,0.8575699205487937
1,고철류/비철금속,0.15070126598466574
2,나무/나무,0.9332769037555879
3,도기류/도기,0.9121858786800239
4,비닐/비닐,0.9167855026815006
5,스티로폼/스티로폼,0.962304703933205
6,유리병/유리병,0.9144258140380277
7,의류/의류,0.9116621677334924
8,종이류/책,0.9488762834340955
9,종이류/박스류,0.8776462309712872
10,종이류/신문지,0.7615238095238096
11,종이류/종이,0.6702577973625392
12,캔류/캔,0.9322272009874899
13,페트병/페트병,0.7336368093897572
14,플라스틱류/플라스틱,0.7844066686139468
15,플라스틱류/장난감,0.9075270330823487
16,형광등/형광등,0.9617875736350335
