class_id,class_name,mAP50_95
0,고철류/고철,0.8421824971348564
1,고철류/비철금속,0.2746302821403145
2,나무/나무,0.9339907338676084
3,도기류/도기,0.9073397528332879
4,비닐/비닐,0.9152709271053221
5,스티로폼/스티로폼,0.9652626299604498
6,유리병/유리병,0.9218622373034743
7,의류/의류,0.9289917649219117
8,종이류/책,0.9450027838827839
9,종이류/박스류,0.9068712916194246
10,종이류/신문지,0.7768424242424243
11,종이류/종이,0.6472587006443337
12,캔류/캔,0.9478838192704281
13,페트병/페트병,0.8186144161287935
14,플라스틱류/플라스틱,0.8161644982850176
15,플라스틱류/장난감,0.8195678439595382
16,형광등/형광등,0.9579998757541798
