id,status,name,family,description,seed,data_kind,cv_policy,dataset_yaml,requested_epochs,actual_epochs,train_minutes,best_pt,save_dir,per_class_csv,unknown_filtered_aug_args,hp_mode,hp_source,hp_params,precision,recall,f1,mAP50,mAP75,mAP50_95,inference_ms_per_image
B00,OK,no_aug_auto,baseline,00번 baseline 재현: 증강 전부 OFF + optimizer auto,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\summary\runtime_processed.yaml,10,10,62.91048601666674,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\B00_no_aug_auto_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\B00_no_aug_auto_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\per_class\B00_no_aug_auto_seed42.csv,augmentations,auto,auto,{},0.8302571201395909,0.8289147509473931,0.8295853925150452,0.8713172365719476,0.8666844657466688,0.8443523998205055,1.3631370741267204
B01,OK,yolo_default_aug_auto,baseline,YOLO 기본 augmentation + optimizer auto,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\summary\runtime_processed.yaml,10,10,63.24608400333333,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\B01_yolo_default_aug_auto_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\B01_yolo_default_aug_auto_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\per_class\B01_yolo_default_aug_auto_seed42.csv,,auto,auto,{},0.828822921332979,0.8231083522529506,0.8259557525137902,0.8748397967838244,0.8684542042586149,0.8475125384723567,1.4094988641101462
B02,OK,yolo_default_aug_tuned,baseline,YOLO 기본 augmentation + Optuna tuned 하이퍼파라미터,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\summary\runtime_processed.yaml,10,10,62.830591226666726,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\B02_yolo_default_aug_tuned_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\B02_yolo_default_aug_tuned_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\per_class\B02_yolo_default_aug_tuned_seed42.csv,,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.008960785365368127, ""lrf"": 0.15751320499779725, ""momentum"": 0.8280833552796386, ""weight_decay"": 2.9375384576328313e-06, ""warmup_epochs"": 0.2904180608409973, ""cos_lr"": false}",0.879574045326297,0.7991122053935207,0.837414799658012,0.8645775561026466,0.8609099089782137,0.839042976580769,1.4755477056828417
B03,OK,no_aug_tuned,baseline,증강 전부 OFF + Optuna tuned (순수 하이퍼파라미터 효과),42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\summary\runtime_processed.yaml,10,10,62.660803930000114,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\B03_no_aug_tuned_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\B03_no_aug_tuned_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\per_class\B03_no_aug_tuned_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.008960785365368127, ""lrf"": 0.15751320499779725, ""momentum"": 0.8280833552796386, ""weight_decay"": 2.9375384576328313e-06, ""warmup_epochs"": 0.2904180608409973, ""cos_lr"": false}",0.8311933170018203,0.800430670714426,0.8155219943197098,0.8637532722025801,0.8534921652836912,0.8315765626091532,1.4697273511442523
Y05,OK,yolo_scale,yolo_single,확대/축소,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\summary\runtime_processed.yaml,10,10,62.65955475833349,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\Y05_yolo_scale_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\Y05_yolo_scale_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\per_class\Y05_yolo_scale_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.008960785365368127, ""lrf"": 0.15751320499779725, ""momentum"": 0.8280833552796386, ""weight_decay"": 2.9375384576328313e-06, ""warmup_epochs"": 0.2904180608409973, ""cos_lr"": false}",0.8334682618464515,0.7971123343462407,0.8148849966143198,0.8717287575971218,0.8656906802523587,0.8426903811208323,1.35298686963432
C01,OK,opencv_reencode_control,opencv_single,OpenCV static augmentation: reencode_control,42,opencv,reencode_control,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\opencv_datasets\reencode_control\seed_42\data.yaml,10,10,63.04285153166663,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\C01_opencv_reencode_control_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\C01_opencv_reencode_control_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\per_class\C01_opencv_reencode_control_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.008960785365368127, ""lrf"": 0.15751320499779725, ""momentum"": 0.8280833552796386, ""weight_decay"": 2.9375384576328313e-06, ""warmup_epochs"": 0.2904180608409973, ""cos_lr"": false}",0.918545253642292,0.7783644886262691,0.8426647438249144,0.8730727087361521,0.8653607963286057,0.8400920601502962,1.4764621536092883
C06,OK,opencv_motion_blur,opencv_single,OpenCV static augmentation: motion_blur,42,opencv,motion_blur,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\opencv_datasets\motion_blur\seed_42\data.yaml,10,10,63.06931372000011,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\C06_opencv_motion_blur_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\C06_opencv_motion_blur_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\per_class\C06_opencv_motion_blur_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.008960785365368127, ""lrf"": 0.15751320499779725, ""momentum"": 0.8280833552796386, ""weight_decay"": 2.9375384576328313e-06, ""warmup_epochs"": 0.2904180608409973, ""cos_lr"": false}",0.8585266094479315,0.8048830773470184,0.8308398645052916,0.8619708157949082,0.8553539222009643,0.8309757315106457,1.382399409346277
Y11,OK,yolo_hsv_flip,yolo_combo,HSV + 좌우 반전,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\summary\runtime_processed.yaml,10,10,62.95928123833316,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\Y11_yolo_hsv_flip_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\Y11_yolo_hsv_flip_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\per_class\Y11_yolo_hsv_flip_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.008960785365368127, ""lrf"": 0.15751320499779725, ""momentum"": 0.8280833552796386, ""weight_decay"": 2.9375384576328313e-06, ""warmup_epochs"": 0.2904180608409973, ""cos_lr"": false}",0.8050573705916987,0.8279947590414297,0.8163649787803787,0.8681244917838842,0.8615207066418195,0.8400623912927809,1.429316447000495
Y08,OK,yolo_mosaic,yolo_single,여러 이미지를 한 학습 장면에 구성,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\summary\runtime_processed.yaml,10,10,62.80220729666665,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\Y08_yolo_mosaic_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\Y08_yolo_mosaic_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\per_class\Y08_yolo_mosaic_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.008960785365368127, ""lrf"": 0.15751320499779725, ""momentum"": 0.8280833552796386, ""weight_decay"": 2.9375384576328313e-06, ""warmup_epochs"": 0.2904180608409973, ""cos_lr"": false}",0.8766145502808765,0.814093781274498,0.8441981868059765,0.8786939349449348,0.8728633760462442,0.8508805303186852,1.437452339737768
Y09,OK,yolo_mixup,yolo_single,두 이미지와 label을 blending,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\summary\runtime_processed.yaml,10,10,63.04363647999999,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\Y09_yolo_mixup_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\runs\Y09_yolo_mixup_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\05_retune_optuna_augmentation\report\per_class\Y09_yolo_mixup_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.008960785365368127, ""lrf"": 0.15751320499779725, ""momentum"": 0.8280833552796386, ""weight_decay"": 2.9375384576328313e-06, ""warmup_epochs"": 0.2904180608409973, ""cos_lr"": false}",0.8083452335747704,0.8064901262913513,0.8074166143683853,0.8593672891857385,0.856107819196182,0.833928840707401,1.4574138573604656
