class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.04125,13,2
1,고철류/골프채,0.5505555555555556,9,2
2,고철류/기타,0.0038372093023255815,10,2
3,고철류/비철금속,0.05601715686274511,9,2
4,고철류/전기프라이팬,0.034462365591397835,9,2
5,고철류/주전자,0.03925601938711694,9,3
6,고철류/철옷걸이,0.0653448275862069,12,2
7,고철류/프라이팬,0.36249999999999993,9,3
8,나무/기타,0.007151322115384616,13,2
9,나무/나무행거,0.495,9,2
10,나무/도마,0.2601582278481013,9,2
11,나무/액자,0.1734308510638298,14,3
12,나무/장식품,0.016555077342252478,12,2
13,나무/주걱,0.010600375877549795,10,2
14,나무/주방용품,0.01669804901960784,12,4
15,나무/포장재,0.02475,9,2
16,도기류/그릇류,0.287708695652174,15,3
17,도기류/기타,0.0,6,2
18,도기류/뚝배기,0.013750000000000002,9,2
19,도기류/받침,0.0,9,2
20,도기류/병,0.0,10,1
21,도기류/장식품,0.14597222222222223,10,2
22,도기류/주전자,0.5294827586206897,9,2
23,도기류/컵,0.15455555555555556,10,2
24,도기류/항아리,0.01094782608695652,10,2
25,도기류/화분,0.5122413793103446,10,2
26,비닐/과자봉지,0.005711538461538461,9,2
27,비닐/기타,0.17221649484536078,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.5206410256410258,10,2
30,비닐/에어캡,0.495,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.018952380952380953,9,2
33,스티로폼/네모트레이,0.05498846153846154,18,3
34,스티로폼/보호재,0.595,11,2
35,스티로폼/스티로폼,0.731,10,3
36,스티로폼/포장용기,0.024024630541871924,10,3
37,유리병/기타,0.009166666666666667,9,2
38,유리병/기타술병,0.11055555555555555,9,2
39,유리병/맥주병,0.08626524390243903,9,2
40,유리병/물병,0.01607317073170731,9,2
41,유리병/박카스병,0.0,10,2
42,유리병/소주병,0.15708333333333327,9,2
43,유리병/음료수병,0.021950581395348844,9,2
44,유리병/주방용기,0.495,9,2
45,의류/기타,0.1644601758517216,5,0
46,의류/기타의류,0.0,9,2
47,의류/레깅스,0.019134615384615392,9,2
48,의류/면의류,0.5334615384615385,9,2
49,의류/상의,0.045,13,2
50,의류/외투,0.5307142857142855,10,2
51,의류/원피스,0.05823113207547169,9,2
52,의류/하의,0.06364285714285714,9,2
53,의류/합성섬유,0.5052040816326532,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.5122413793103446,10,2
56,종이류/상자류,0.00957142857142857,9,3
57,종이류/신문지,0.0028448275862068963,9,2
58,종이류/신발상자,0.0825,9,2
59,종이류/음료수곽,0.1365,9,2
60,종이류/종이봉투,0.18405000000000002,9,2
61,종이류/책자,0.4455,9,2
62,종이류/포장상자,0.026052631578947365,10,2
63,캔류/기타,0.1644601758517216,5,0
64,캔류/맥주캔,0.0324220583305397,10,2
65,캔류/스팸류,0.1082592592592593,9,2
66,캔류/음료수캔,0.05453508771929825,9,2
67,캔류/참기름캔,0.0223697270471464,9,2
68,캔류/커피캔,0.01036046511627907,10,2
69,캔류/통조림캔,0.0012958115183246076,9,2
70,페트병/기타,0.004790322580645162,9,2
71,페트병/일회용음료수잔,0.058529411764705865,9,2
72,페트병/페트병,0.0556875,10,2
73,플라스틱류/기타,0.002828571428571429,11,2
74,플라스틱류/대용량플라스틱통,0.08460227272727275,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.38214285714285723,12,3
77,플라스틱류/욕실용품,0.015046217774762546,11,3
78,플라스틱류/장남감,0.0707142857142857,10,2
79,형광등/LED전구,0.01233051046812515,9,3
80,형광등/기타,0.1644601758517216,14,0
81,형광등/백열전구,0.21503947368421056,10,2
82,형광등/안정기내장형,0.6633333333333333,9,2
83,형광등/직관형,0.032919658772599954,9,2
84,형광등/콤팩트형,0.019151101953286485,11,2
85,형광등/환형,0.8283333333333331,9,2
