class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.049775,13,2
1,고철류/골프채,0.5959174311926605,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.017447877885331347,9,2
4,고철류/전기프라이팬,0.009339622641509433,9,2
5,고철류/주전자,0.01948327305605787,9,3
6,고철류/철옷걸이,0.029117647058823533,12,2
7,고철류/프라이팬,0.39000000000000007,9,3
8,나무/기타,0.0034915587419056433,13,2
9,나무/나무행거,0.495,9,2
10,나무/도마,0.2475,9,2
11,나무/액자,0.3099008620689655,14,3
12,나무/장식품,0.014704749679075738,12,2
13,나무/주걱,0.00495,10,2
14,나무/주방용품,0.05278298487166412,12,4
15,나무/포장재,0.0,9,2
16,도기류/그릇류,0.14880666666666661,15,3
17,도기류/기타,0.0,6,2
18,도기류/뚝배기,0.0309375,9,2
19,도기류/받침,0.0,9,2
20,도기류/병,0.005654126984126984,10,1
21,도기류/장식품,0.2891666666666666,10,2
22,도기류/주전자,0.6950000000000001,9,2
23,도기류/컵,0.6367999999999999,10,2
24,도기류/항아리,0.01437096774193548,10,2
25,도기류/화분,0.2475,10,2
26,비닐/과자봉지,0.03426923076923077,9,2
27,비닐/기타,0.02475,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.5449999999999999,10,2
30,비닐/에어캡,0.7450000000000001,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.5199999999999998,9,2
33,스티로폼/네모트레이,0.055416666666666684,18,3
34,스티로폼/보호재,0.6378571428571431,11,2
35,스티로폼/스티로폼,0.6272857142857144,10,3
36,스티로폼/포장용기,0.020841269841269838,10,3
37,유리병/기타,0.027419047619047614,9,2
38,유리병/기타술병,0.14755952380952378,9,2
39,유리병/맥주병,0.2530402661854274,9,2
40,유리병/물병,0.061875,9,2
41,유리병/박카스병,0.0,10,2
42,유리병/소주병,0.165,9,2
43,유리병/음료수병,0.11705882352941173,9,2
44,유리병/주방용기,0.04125,9,2
45,의류/기타,0.16775556507756575,5,0
46,의류/기타의류,0.0,9,2
47,의류/레깅스,0.11375000000000002,9,2
48,의류/면의류,0.1540530303030303,9,2
49,의류/상의,0.03807692307692308,13,2
50,의류/외투,0.16566666666666668,10,2
51,의류/원피스,0.03807692307692308,9,2
52,의류/하의,0.0,9,2
53,의류/합성섬유,0.10354166666666664,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.531,10,2
56,종이류/상자류,0.015227272727272728,9,3
57,종이류/신문지,0.0,9,2
58,종이류/신발상자,0.05,9,2
59,종이류/음료수곽,0.020914772727272726,9,2
60,종이류/종이봉투,0.25950000000000006,9,2
61,종이류/책자,0.4455,9,2
62,종이류/포장상자,0.2475,10,2
63,캔류/기타,0.16775556507756575,5,0
64,캔류/맥주캔,0.0468859649122807,10,2
65,캔류/스팸류,0.021397849462365594,9,2
66,캔류/음료수캔,0.0422,9,2
67,캔류/참기름캔,0.0,9,2
68,캔류/커피캔,0.04455,10,2
69,캔류/통조림캔,0.0028125,9,2
70,페트병/기타,0.02784375,9,2
71,페트병/일회용음료수잔,0.06633333333333333,9,2
72,페트병/페트병,0.198,10,2
73,플라스틱류/기타,0.0066,11,2
74,플라스틱류/대용량플라스틱통,0.27452702702702697,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.3224102564102565,12,3
77,플라스틱류/욕실용품,0.015436640327772902,11,3
78,플라스틱류/장남감,0.03807692307692308,10,2
79,형광등/LED전구,0.005962427745664739,9,3
80,형광등/기타,0.16775556507756575,14,0
81,형광등/백열전구,0.06512978723404257,10,2
82,형광등/안정기내장형,0.8283333333333331,9,2
83,형광등/직관형,0.03802102568406916,9,2
84,형광등/콤팩트형,0.041780873493975905,11,2
85,형광등/환형,0.8283333333333331,9,2
