class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.045,13,2
1,고철류/골프채,0.26822463768115945,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.016500000000000004,9,2
4,고철류/전기프라이팬,0.03516749379652605,9,2
5,고철류/주전자,0.014421686746987952,9,3
6,고철류/철옷걸이,0.495,12,2
7,고철류/프라이팬,0.12180457746478875,9,3
8,나무/기타,0.009892361111111112,13,2
9,나무/나무행거,0.495,9,2
10,나무/도마,0.5783333333333333,9,2
11,나무/액자,0.19666666666666668,14,3
12,나무/장식품,0.05511235955056178,12,2
13,나무/주걱,0.028606619627114693,10,2
14,나무/주방용품,0.06805021367521369,12,4
15,나무/포장재,0.005711538461538461,9,2
16,도기류/그릇류,0.06252115384615385,15,3
17,도기류/기타,0.0,6,2
18,도기류/뚝배기,0.04206521739130435,9,2
19,도기류/받침,0.0081,9,2
20,도기류/병,0.053116736074960945,10,1
21,도기류/장식품,0.099,10,2
22,도기류/주전자,0.10750000000000001,9,2
23,도기류/컵,0.595,10,2
24,도기류/항아리,0.007425000000000001,10,2
25,도기류/화분,0.2475,10,2
26,비닐/과자봉지,0.037125000000000005,9,2
27,비닐/기타,0.2755000000000001,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.5077272727272726,10,2
30,비닐/에어캡,0.2339922480620155,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.030584507042253517,9,2
33,스티로폼/네모트레이,0.021019310382394598,18,3
34,스티로폼/보호재,0.5307142857142855,11,2
35,스티로폼/스티로폼,0.7243999999999999,10,3
36,스티로폼/포장용기,0.12168313725490196,10,3
37,유리병/기타,0.012040540540540542,9,2
38,유리병/기타술병,0.01578235294117647,9,2
39,유리병/맥주병,0.047362637362637364,9,2
40,유리병/물병,0.008999999999999998,9,2
41,유리병/박카스병,0.0,10,2
42,유리병/소주병,0.265,9,2
43,유리병/음료수병,0.5307142857142855,9,2
44,유리병/주방용기,0.12375,9,2
45,의류/기타,0.15860251243362258,5,0
46,의류/기타의류,0.010702702702702705,9,2
47,의류/레깅스,0.7450000000000001,9,2
48,의류/면의류,0.0,9,2
49,의류/상의,0.027500000000000004,13,2
50,의류/외투,0.24833333333333324,10,2
51,의류/원피스,0.06293283582089555,9,2
52,의류/하의,0.0,9,2
53,의류/합성섬유,0.0995,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.5512499999999999,10,2
56,종이류/상자류,0.0068367346938775515,9,3
57,종이류/신문지,0.007071428571428571,9,2
58,종이류/신발상자,0.0,9,2
59,종이류/음료수곽,0.03896443005727202,9,2
60,종이류/종이봉투,0.5034033613445378,9,2
61,종이류/책자,0.01437096774193548,9,2
62,종이류/포장상자,0.005625,10,2
63,캔류/기타,0.15860251243362258,5,0
64,캔류/맥주캔,0.0225,10,2
65,캔류/스팸류,0.01483388704318937,9,2
66,캔류/음료수캔,0.08029746447819698,9,2
67,캔류/참기름캔,0.012375,9,2
68,캔류/커피캔,0.033,10,2
69,캔류/통조림캔,0.005625,9,2
70,페트병/기타,0.0,9,2
71,페트병/일회용음료수잔,0.03140912369275154,9,2
72,페트병/페트병,0.40095000000000003,10,2
73,플라스틱류/기타,0.008250000000000002,11,2
74,플라스틱류/대용량플라스틱통,0.503849557522124,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.335,12,3
77,플라스틱류/욕실용품,0.056005291005291016,11,3
78,플라스틱류/장남감,0.03525862068965517,10,2
79,형광등/LED전구,0.002061538461538462,9,3
80,형광등/기타,0.15860251243362258,14,0
81,형광등/백열전구,0.005711538461538461,10,2
82,형광등/안정기내장형,0.6467499999999999,9,2
83,형광등/직관형,0.0017229116222760288,9,2
84,형광등/콤팩트형,0.01480263157894737,11,2
85,형광등/환형,0.9949999999999999,9,2
