class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.026052631578947365,13,2
1,고철류/골프채,0.0942594696969697,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.015000000000000003,9,2
4,고철류/전기프라이팬,0.04641025641025641,9,2
5,고철류/주전자,0.04688235294117647,9,3
6,고철류/철옷걸이,0.495,12,2
7,고철류/프라이팬,0.10127272727272729,9,3
8,나무/기타,0.0,13,2
9,나무/나무행거,0.495,9,2
10,나무/도마,0.5449999999999999,9,2
11,나무/액자,0.3444285714285715,14,3
12,나무/장식품,0.05102564102564102,12,2
13,나무/주걱,0.17798701298701294,10,2
14,나무/주방용품,0.20019549150036955,12,4
15,나무/포장재,0.0,9,2
16,도기류/그릇류,0.5142777777777777,15,3
17,도기류/기타,0.0,6,2
18,도기류/뚝배기,0.0825,9,2
19,도기류/받침,0.011,9,2
20,도기류/병,0.0,10,1
21,도기류/장식품,0.25825268817204305,10,2
22,도기류/주전자,0.2078571428571429,9,2
23,도기류/컵,0.6950000000000001,10,2
24,도기류/항아리,0.0,10,2
25,도기류/화분,0.5055882352941177,10,2
26,비닐/과자봉지,0.0,9,2
27,비닐/기타,0.5105555555555555,7,2
28,비닐/리필용기,0.27874999999999994,9,2
29,비닐/봉투,0.11220754716981134,10,2
30,비닐/에어캡,0.45257142857142857,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.014558823529411766,9,2
33,스티로폼/네모트레이,0.11166666666666665,18,3
34,스티로폼/보호재,0.3503611111111111,11,2
35,스티로폼/스티로폼,0.7035526315789473,10,3
36,스티로폼/포장용기,0.026768292682926832,10,3
37,유리병/기타,0.050298387096774186,9,2
38,유리병/기타술병,0.03363214285714285,9,2
39,유리병/맥주병,0.5047087378640776,9,2
40,유리병/물병,0.2328623595505618,9,2
41,유리병/박카스병,0.0,10,2
42,유리병/소주병,0.10236842105263158,9,2
43,유리병/음료수병,0.09758928571428568,9,2
44,유리병/주방용기,0.004583333333333333,9,2
45,의류/기타,0.189994908672367,5,0
46,의류/기타의류,0.0,9,2
47,의류/레깅스,0.1009017857142857,9,2
48,의류/면의류,0.01053191489361702,9,2
49,의류/상의,0.18460784313725492,13,2
50,의류/외투,0.24874999999999997,10,2
51,의류/원피스,0.5341304347826088,9,2
52,의류/하의,0.165,9,2
53,의류/합성섬유,0.165,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.5325000000000001,10,2
56,종이류/상자류,0.011166666666666668,9,3
57,종이류/신문지,0.01546875,9,2
58,종이류/신발상자,0.07458333333333333,9,2
59,종이류/음료수곽,0.05469999999999999,9,2
60,종이류/종이봉투,0.2045,9,2
61,종이류/책자,0.5055000000000001,9,2
62,종이류/포장상자,0.5029299270072993,10,2
63,캔류/기타,0.189994908672367,5,0
64,캔류/맥주캔,0.0825,10,2
65,캔류/스팸류,0.2475,9,2
66,캔류/음료수캔,0.0,9,2
67,캔류/참기름캔,0.0891,9,2
68,캔류/커피캔,0.05081142857142855,10,2
69,캔류/통조림캔,0.02475,9,2
70,페트병/기타,0.0037754237288135594,9,2
71,페트병/일회용음료수잔,0.004895604395604396,9,2
72,페트병/페트병,0.4455,10,2
73,플라스틱류/기타,0.0,11,2
74,플라스틱류/대용량플라스틱통,0.6235714285714288,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.335,12,3
77,플라스틱류/욕실용품,0.008016233766233768,11,3
78,플라스틱류/장남감,0.016500000000000004,10,2
79,형광등/LED전구,0.002284090909090909,9,3
80,형광등/기타,0.189994908672367,14,0
81,형광등/백열전구,0.019701540263015672,10,2
82,형광등/안정기내장형,0.7506025641025639,9,2
83,형광등/직관형,0.06949117647058824,9,2
84,형광등/콤팩트형,0.19028255021520807,11,2
85,형광등/환형,0.9949999999999999,9,2
