class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.013434193548387093,13,2
1,고철류/골프채,0.8407500000000001,9,2
2,고철류/기타,0.005303571428571428,10,2
3,고철류/비철금속,0.06799999999999999,9,2
4,고철류/전기프라이팬,0.02546794871794871,9,2
5,고철류/주전자,0.16081176470588235,9,3
6,고철류/철옷걸이,0.5799961240310079,12,2
7,고철류/프라이팬,0.02349676850763808,9,3
8,나무/기타,0.012692307692307692,13,2
9,나무/나무행거,0.21129035729659923,9,2
10,나무/도마,0.20556818181818182,9,2
11,나무/액자,0.3963800087108013,14,3
12,나무/장식품,0.014558823529411766,12,2
13,나무/주걱,0.23688566884243567,10,2
14,나무/주방용품,0.13774016522217553,12,4
15,나무/포장재,0.4564756097560975,9,2
16,도기류/그릇류,0.34446551724137936,15,3
17,도기류/기타,0.04351357466063349,6,2
18,도기류/뚝배기,0.5055000000000001,9,2
19,도기류/받침,0.020249999999999997,9,2
20,도기류/병,0.04422222222222222,10,1
21,도기류/장식품,0.04863683712121212,10,2
22,도기류/주전자,0.5573034591194969,9,2
23,도기류/컵,0.79875,10,2
24,도기류/항아리,0.07085006435006433,10,2
25,도기류/화분,0.4595350877192982,10,2
26,비닐/과자봉지,0.01483649748159628,9,2
27,비닐/기타,0.42074999999999996,7,2
28,비닐/리필용기,0.4125,9,2
29,비닐/봉투,0.6788333333333332,10,2
30,비닐/에어캡,0.6626666666666665,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.04713157894736842,9,2
33,스티로폼/네모트레이,0.011072557471264368,18,3
34,스티로폼/보호재,0.23292344497607656,11,2
35,스티로폼/스티로폼,0.5601333333333334,10,3
36,스티로폼/포장용기,0.03348131868131867,10,3
37,유리병/기타,0.2672694633408919,9,2
38,유리병/기타술병,0.049144566527366915,9,2
39,유리병/맥주병,0.03677897574123989,9,2
40,유리병/물병,0.0264,9,2
41,유리병/박카스병,0.011423076923076921,10,2
42,유리병/소주병,0.08265686274509805,9,2
43,유리병/음료수병,0.031167088607594935,9,2
44,유리병/주방용기,0.011474244120940648,9,2
45,의류/기타,0.1855527528485135,5,0
46,의류/기타의류,0.0,9,2
47,의류/레깅스,0.0995,9,2
48,의류/면의류,0.09971900406504064,9,2
49,의류/상의,0.22275,13,2
50,의류/외투,0.15329509359047078,10,2
51,의류/원피스,0.04828571428571428,9,2
52,의류/하의,0.1605000000000001,9,2
53,의류/합성섬유,0.4455,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.17499342105263155,10,2
56,종이류/상자류,0.024240384615384615,9,3
57,종이류/신문지,0.023447368421052626,9,2
58,종이류/신발상자,0.25475000000000014,9,2
59,종이류/음료수곽,0.09795871710526315,9,2
60,종이류/종이봉투,0.15353144654088047,9,2
61,종이류/책자,0.597,9,2
62,종이류/포장상자,0.026052631578947365,10,2
63,캔류/기타,0.1855527528485135,5,0
64,캔류/맥주캔,0.036490846681922186,10,2
65,캔류/스팸류,0.07330357142857145,9,2
66,캔류/음료수캔,0.032829999999999984,9,2
67,캔류/참기름캔,0.08729347826086954,9,2
68,캔류/커피캔,0.06136742424242425,10,2
69,캔류/통조림캔,0.010702702702702705,9,2
70,페트병/기타,0.0,9,2
71,페트병/일회용음료수잔,0.016933748972321184,9,2
72,페트병/페트병,0.014416337805840566,10,2
73,플라스틱류/기타,0.04121428571428571,11,2
74,플라스틱류/대용량플라스틱통,0.5646984304932735,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.14710805084745757,12,3
77,플라스틱류/욕실용품,0.00440880503144654,11,3
78,플라스틱류/장남감,0.033455868544600934,10,2
79,형광등/LED전구,0.05890178571428571,9,3
80,형광등/기타,0.1855527528485135,14,0
81,형광등/백열전구,0.06877777777777778,10,2
82,형광등/안정기내장형,0.8955,9,2
83,형광등/직관형,0.10963032581453636,9,2
84,형광등/콤팩트형,0.008799999999999999,11,2
85,형광등/환형,0.6809999999999998,9,2
