class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.11518269230769232,13,2
1,고철류/골프채,0.555,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.01076086956521739,9,2
4,고철류/전기프라이팬,0.04522727272727273,9,2
5,고철류/주전자,0.05697390243902441,9,3
6,고철류/철옷걸이,0.04625,12,2
7,고철류/프라이팬,0.5161999999999999,9,3
8,나무/기타,0.005625,13,2
9,나무/나무행거,0.495,9,2
10,나무/도마,0.04341666666666667,9,2
11,나무/액자,0.284981899641577,14,3
12,나무/장식품,0.00417458063663981,12,2
13,나무/주걱,0.061594982078853056,10,2
14,나무/주방용품,0.07908837970540097,12,4
15,나무/포장재,0.027500000000000004,9,2
16,도기류/그릇류,0.21885384615384615,15,3
17,도기류/기타,0.0,6,2
18,도기류/뚝배기,0.087,9,2
19,도기류/받침,0.003928571428571428,9,2
20,도기류/병,0.005176300578034683,10,1
21,도기류/장식품,0.2975,10,2
22,도기류/주전자,0.241923076923077,9,2
23,도기류/컵,0.9949999999999999,10,2
24,도기류/항아리,0.004087155963302752,10,2
25,도기류/화분,0.17704819277108444,10,2
26,비닐/과자봉지,0.02620588235294118,9,2
27,비닐/기타,0.165,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.5449999999999999,10,2
30,비닐/에어캡,0.5058464384828862,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.05500000000000001,9,2
33,스티로폼/네모트레이,0.12674358974358974,18,3
34,스티로폼/보호재,0.33166666666666667,11,2
35,스티로폼/스티로폼,0.7096875,10,3
36,스티로폼/포장용기,0.017711724137931033,10,3
37,유리병/기타,0.03597872340425533,9,2
38,유리병/기타술병,0.0419989010989011,9,2
39,유리병/맥주병,0.495,9,2
40,유리병/물병,0.4988297872340425,9,2
41,유리병/박카스병,0.0,10,2
42,유리병/소주병,0.26480769230769236,9,2
43,유리병/음료수병,0.058529411764705865,9,2
44,유리병/주방용기,0.020625,9,2
45,의류/기타,0.16178720753813347,5,0
46,의류/기타의류,0.003735849056603773,9,2
47,의류/레깅스,0.1809090909090909,9,2
48,의류/면의류,0.12471428571428574,9,2
49,의류/상의,0.026052631578947365,13,2
50,의류/외투,0.11833333333333333,10,2
51,의류/원피스,0.027500000000000004,9,2
52,의류/하의,0.012375,9,2
53,의류/합성섬유,0.52625,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.5768181818181817,10,2
56,종이류/상자류,0.005775862068965518,9,3
57,종이류/신문지,0.011785714285714285,9,2
58,종이류/신발상자,0.015967741935483868,9,2
59,종이류/음료수곽,0.029088235294117647,9,2
60,종이류/종이봉투,0.051888297872340415,9,2
61,종이류/책자,0.04455,9,2
62,종이류/포장상자,0.0825,10,2
63,캔류/기타,0.16178720753813347,5,0
64,캔류/맥주캔,0.05815789473684209,10,2
65,캔류/스팸류,0.12437499999999999,9,2
66,캔류/음료수캔,0.01437096774193548,9,2
67,캔류/참기름캔,0.0,9,2
68,캔류/커피캔,0.010865853658536585,10,2
69,캔류/통조림캔,0.004342105263157895,9,2
70,페트병/기타,0.0,9,2
71,페트병/일회용음료수잔,0.18015151515151523,9,2
72,페트병/페트병,0.029700000000000004,10,2
73,플라스틱류/기타,0.00515625,11,2
74,플라스틱류/대용량플라스틱통,0.23285492700729926,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.38214285714285723,12,3
77,플라스틱류/욕실용품,0.014994350282485877,11,3
78,플라스틱류/장남감,0.011511627906976744,10,2
79,형광등/LED전구,0.010028429372768995,9,3
80,형광등/기타,0.16178720753813347,14,0
81,형광등/백열전구,0.10343949044585984,10,2
82,형광등/안정기내장형,0.6616666666666668,9,2
83,형광등/직관형,0.030381097560975612,9,2
84,형광등/콤팩트형,0.11649692874692874,11,2
85,형광등/환형,0.8283333333333331,9,2
