class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.22275,13,2
1,고철류/골프채,0.5695714285714286,9,2
2,고철류/기타,0.008567307692307692,10,2
3,고철류/비철금속,0.040499999999999994,9,2
4,고철류/전기프라이팬,0.030588805970149253,9,2
5,고철류/주전자,0.020100000000000003,9,3
6,고철류/철옷걸이,0.2583321428571428,12,2
7,고철류/프라이팬,0.05696004328152665,9,3
8,나무/기타,0.0019369565217391305,13,2
9,나무/나무행거,0.4455,9,2
10,나무/도마,0.5294827586206897,9,2
11,나무/액자,0.30345283018867925,14,3
12,나무/장식품,0.013768110666181286,12,2
13,나무/주걱,0.2386,10,2
14,나무/주방용품,0.22450375939849626,12,4
15,나무/포장재,0.02475,9,2
16,도기류/그릇류,0.10518291505791506,15,3
17,도기류/기타,0.08859913793103448,6,2
18,도기류/뚝배기,0.058529411764705865,9,2
19,도기류/받침,0.0240159151193634,9,2
20,도기류/병,0.006175862068965516,10,1
21,도기류/장식품,0.7450000000000001,10,2
22,도기류/주전자,0.066,9,2
23,도기류/컵,0.8283333333333331,10,2
24,도기류/항아리,0.012511764705882356,10,2
25,도기류/화분,0.5058802089000108,10,2
26,비닐/과자봉지,0.020352272727272726,9,2
27,비닐/기타,0.029700000000000004,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.5077619047619047,10,2
30,비닐/에어캡,0.44775,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.02454,9,2
33,스티로폼/네모트레이,0.16305392156862747,18,3
34,스티로폼/보호재,0.45105000000000006,11,2
35,스티로폼/스티로폼,0.6845,10,3
36,스티로폼/포장용기,0.04832806573957017,10,3
37,유리병/기타,0.0382517857142857,9,2
38,유리병/기타술병,0.059836693548387075,9,2
39,유리병/맥주병,0.1288383764857154,9,2
40,유리병/물병,0.1197083333333333,9,2
41,유리병/박카스병,0.0,10,2
42,유리병/소주병,0.029849999999999998,9,2
43,유리병/음료수병,0.013533088235294113,9,2
44,유리병/주방용기,0.099,9,2
45,의류/기타,0.1867254038502722,5,0
46,의류/기타의류,0.0,9,2
47,의류/레깅스,0.2573653846153846,9,2
48,의류/면의류,0.11503125,9,2
49,의류/상의,0.02784375,13,2
50,의류/외투,0.1643161764705883,10,2
51,의류/원피스,0.004689473684210526,9,2
52,의류/하의,0.495,9,2
53,의류/합성섬유,0.4455,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.48150000000000004,10,2
56,종이류/상자류,0.004855072463768116,9,3
57,종이류/신문지,0.015967741935483868,9,2
58,종이류/신발상자,0.05394242424242425,9,2
59,종이류/음료수곽,0.09418831168831172,9,2
60,종이류/종이봉투,0.111375,9,2
61,종이류/책자,0.4883571428571429,9,2
62,종이류/포장상자,0.04125,10,2
63,캔류/기타,0.1867254038502722,5,0
64,캔류/맥주캔,0.495,10,2
65,캔류/스팸류,0.5167391304347826,9,2
66,캔류/음료수캔,0.049624999999999996,9,2
67,캔류/참기름캔,0.0,9,2
68,캔류/커피캔,0.0069609375,10,2
69,캔류/통조림캔,0.0017470588235294117,9,2
70,페트병/기타,0.005999999999999999,9,2
71,페트병/일회용음료수잔,0.013943181818181818,9,2
72,페트병/페트병,0.22275,10,2
73,플라스틱류/기타,0.0025457142857142857,11,2
74,플라스틱류/대용량플라스틱통,0.4604309210526316,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.40099999999999997,12,3
77,플라스틱류/욕실용품,0.01548559229634516,11,3
78,플라스틱류/장남감,0.0034434782608695653,10,2
79,형광등/LED전구,0.00828236302704388,9,3
80,형광등/기타,0.1867254038502722,14,0
81,형광등/백열전구,0.02357142857142857,10,2
82,형광등/안정기내장형,0.5996052631578948,9,2
83,형광등/직관형,0.06758064516129032,9,2
84,형광등/콤팩트형,0.01666894246162539,11,2
85,형광등/환형,0.9949999999999999,9,2
