class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.04570116279069768,13,2
1,고철류/골프채,0.6954950495049503,9,2
2,고철류/기타,0.003586956521739131,10,2
3,고철류/비철금속,0.014250830610021784,9,2
4,고철류/전기프라이팬,0.04853658536585366,9,2
5,고철류/주전자,0.39021666666666677,9,3
6,고철류/철옷걸이,0.1017487684729064,12,2
7,고철류/프라이팬,0.15291666666666665,9,3
8,나무/기타,0.0066,13,2
9,나무/나무행거,0.5125438596491227,9,2
10,나무/도마,0.24874999999999997,9,2
11,나무/액자,0.42837500000000006,14,3
12,나무/장식품,0.018261917883714517,12,2
13,나무/주걱,0.1197290322580645,10,2
14,나무/주방용품,0.0559427553748003,12,4
15,나무/포장재,0.057008333333333314,9,2
16,도기류/그릇류,0.23376666666666668,15,3
17,도기류/기타,0.03675403225806451,6,2
18,도기류/뚝배기,0.13266666666666665,9,2
19,도기류/받침,0.036851851851851844,9,2
20,도기류/병,0.0037626050420168076,10,1
21,도기류/장식품,0.06633333333333333,10,2
22,도기류/주전자,0.07653846153846157,9,2
23,도기류/컵,0.33166666666666667,10,2
24,도기류/항아리,0.04023519163763066,10,2
25,도기류/화분,0.17704819277108444,10,2
26,비닐/과자봉지,0.08122619047619044,9,2
27,비닐/기타,0.495,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.5319999999999999,10,2
30,비닐/에어캡,0.3611117647058824,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.0197029702970297,9,2
33,스티로폼/네모트레이,0.4200384615384616,18,3
34,스티로폼/보호재,0.8283333333333331,11,2
35,스티로폼/스티로폼,0.5430909090909091,10,3
36,스티로폼/포장용기,0.26412500000000005,10,3
37,유리병/기타,0.021164864242982053,9,2
38,유리병/기타술병,0.123525,9,2
39,유리병/맥주병,0.03535714285714285,9,2
40,유리병/물병,0.027638888888888886,9,2
41,유리병/박카스병,0.0025916230366492153,10,2
42,유리병/소주병,0.07932432432432433,9,2
43,유리병/음료수병,0.02145467338859334,9,2
44,유리병/주방용기,0.1091010101010101,9,2
45,의류/기타,0.1798082897227289,5,0
46,의류/기타의류,0.01952612612612613,9,2
47,의류/레깅스,0.595,9,2
48,의류/면의류,0.17546511627906977,9,2
49,의류/상의,0.04023809523809523,13,2
50,의류/외투,0.19357142857142867,10,2
51,의류/원피스,0.06278716216216215,9,2
52,의류/하의,0.1389015151515152,9,2
53,의류/합성섬유,0.5227777777777779,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.6616666666666668,10,2
56,종이류/상자류,0.19288461538461535,9,3
57,종이류/신문지,0.01053191489361702,9,2
58,종이류/신발상자,0.189,9,2
59,종이류/음료수곽,0.013365384615384612,9,2
60,종이류/종이봉투,0.02475,9,2
61,종이류/책자,0.1279285714285714,9,2
62,종이류/포장상자,0.019799999999999995,10,2
63,캔류/기타,0.1798082897227289,5,0
64,캔류/맥주캔,0.099,10,2
65,캔류/스팸류,0.01546875,9,2
66,캔류/음료수캔,0.19975189933523266,9,2
67,캔류/참기름캔,0.020371385371385366,9,2
68,캔류/커피캔,0.0287578125,10,2
69,캔류/통조림캔,0.0707142857142857,9,2
70,페트병/기타,0.0,9,2
71,페트병/일회용음료수잔,0.006449661449661451,9,2
72,페트병/페트병,0.21539322580645162,10,2
73,플라스틱류/기타,0.007983870967741934,11,2
74,플라스틱류/대용량플라스틱통,0.5244117647058825,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.392236842105263,12,3
77,플라스틱류/욕실용품,0.012803955591899402,11,3
78,플라스틱류/장남감,0.011771892830563135,10,2
79,형광등/LED전구,0.02959624542124542,9,3
80,형광등/기타,0.1798082897227289,14,0
81,형광등/백열전구,0.03068944353518822,10,2
82,형광등/안정기내장형,0.30999999999999994,9,2
83,형광등/직관형,0.00969359893059847,9,2
84,형광등/콤팩트형,0.46072562861368815,11,2
85,형광등/환형,0.9949999999999999,9,2
