class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.12375,13,2
1,고철류/골프채,0.6950000000000001,9,2
2,고철류/기타,0.0,10,2
3,고철류/비철금속,0.029638083956017254,9,2
4,고철류/전기프라이팬,0.3244230769230768,9,2
5,고철류/주전자,0.11390862876254182,9,3
6,고철류/철옷걸이,0.5267857142857143,12,2
7,고철류/프라이팬,0.14375,9,3
8,나무/기타,0.003074534161490683,13,2
9,나무/나무행거,0.0641743119266055,9,2
10,나무/도마,0.39035714285714274,9,2
11,나무/액자,0.6721439911232503,14,3
12,나무/장식품,0.08967892156862747,12,2
13,나무/주걱,0.4284803921568627,10,2
14,나무/주방용품,0.16988118094652122,12,4
15,나무/포장재,0.10100131578947369,9,2
16,도기류/그릇류,0.5439999999999999,15,3
17,도기류/기타,0.13803571428571423,6,2
18,도기류/뚝배기,0.15550438596491226,9,2
19,도기류/받침,0.01036046511627907,9,2
20,도기류/병,0.009733695652173914,10,1
21,도기류/장식품,0.11134567901234568,10,2
22,도기류/주전자,0.05765822784810125,9,2
23,도기류/컵,0.3244230769230768,10,2
24,도기류/항아리,0.004380530973451328,10,2
25,도기류/화분,0.4740481927710845,10,2
26,비닐/과자봉지,0.06573214285714284,9,2
27,비닐/기타,0.495,7,2
28,비닐/리필용기,0.495,9,2
29,비닐/봉투,0.6700000000000002,10,2
30,비닐/에어캡,0.37177981927710846,9,2
31,비닐/일회용덮개,0.002686046511627907,9,2
32,비닐/포장제,0.02551282051282051,9,2
33,스티로폼/네모트레이,0.4745140101256983,18,3
34,스티로폼/보호재,0.6378571428571431,11,2
35,스티로폼/스티로폼,0.3635277777777778,10,3
36,스티로폼/포장용기,0.3287826086956521,10,3
37,유리병/기타,0.036,9,2
38,유리병/기타술병,0.19049999999999995,9,2
39,유리병/맥주병,0.03807692307692308,9,2
40,유리병/물병,0.03535714285714285,9,2
41,유리병/박카스병,0.0,10,2
42,유리병/소주병,0.135,9,2
43,유리병/음료수병,0.00976508686376105,9,2
44,유리병/주방용기,0.2663679245283019,9,2
45,의류/기타,0.21426016290344194,5,0
46,의류/기타의류,0.019706896551724137,9,2
47,의류/레깅스,0.2675,9,2
48,의류/면의류,0.495,9,2
49,의류/상의,0.08658730158730155,13,2
50,의류/외투,0.3586111111111111,10,2
51,의류/원피스,0.02521232876712328,9,2
52,의류/하의,0.08357142857142859,9,2
53,의류/합성섬유,0.506111111111111,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.95,10,2
56,종이류/상자류,0.3805631578947368,9,3
57,종이류/신문지,0.011,9,2
58,종이류/신발상자,0.1843896103896104,9,2
59,종이류/음료수곽,0.07071794871794874,9,2
60,종이류/종이봉투,0.03593750000000002,9,2
61,종이류/책자,0.47653448275862076,9,2
62,종이류/포장상자,0.02357142857142857,10,2
63,캔류/기타,0.21426016290344194,5,0
64,캔류/맥주캔,0.017678571428571425,10,2
65,캔류/스팸류,0.01903846153846154,9,2
66,캔류/음료수캔,0.030172131147540988,9,2
67,캔류/참기름캔,0.018647690655209447,9,2
68,캔류/커피캔,0.030394736842105263,10,2
69,캔류/통조림캔,0.24996478873239442,9,2
70,페트병/기타,0.006274647887323943,9,2
71,페트병/일회용음료수잔,0.012363792258696712,9,2
72,페트병/페트병,0.040104865938430975,10,2
73,플라스틱류/기타,0.014014084507042252,11,2
74,플라스틱류/대용량플라스틱통,0.505989010989011,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.18044117647058824,12,3
77,플라스틱류/욕실용품,0.005571428571428572,11,3
78,플라스틱류/장남감,0.003182142857142857,10,2
79,형광등/LED전구,0.056567791005291024,9,3
80,형광등/기타,0.21426016290344194,14,0
81,형광등/백열전구,0.23508322226664888,10,2
82,형광등/안정기내장형,0.9949999999999999,9,2
83,형광등/직관형,0.027302857142857136,9,2
84,형광등/콤팩트형,0.018791105769230765,11,2
85,형광등/환형,0.9949999999999999,9,2
