split,image_member,json_member,image_name,folder_major,folder_detail,folder_target_class,width,height,meta_width,meta_height,resolution_match,place,day_night,bounding_count_declared,bounding_count_json,valid_object_count,target_is_annotated,unknown_object_count,sha1,keep_for_processed,exclude_reason
Training,Training/images/고철류/고철/12_X001_C024_1123/12_X001_C024_1123_1.jpg,Training/labels/고철류/고철/12_X001_C024_1123/12_X001_C024_1123_1.json,12_X001_C024_1123_1.jpg,고철류,고철,고철류/고철,1920,1080,1920,1080,True,실외,주간,1,1,1,True,0,01875ab388c5d44915c4fbbd93d3a5ab388dcaa2,True,
Training,Training/images/고철류/고철/12_X002_C023_1211/12_X002_C023_1211_4.jpg,Training/labels/고철류/고철/12_X002_C023_1211/12_X002_C023_1211_4.json,12_X002_C023_1211_4.jpg,고철류,고철,고철류/고철,1920,1080,1920,1080,True,실외,주간,2,2,2,True,0,1a05eb7bb1de0ea40cbb8f54212d0e30bc19a906,True,
Training,Training/images/고철류/고철/12_X003_C044_1105/12_X003_C044_1105_0.jpg,Training/labels/고철류/고철/12_X003_C044_1105/12_X003_C044_1105_0.json,12_X003_C044_1105_0.jpg,고철류,고철,고철류/고철,4032,3024,4032,3024,True,실외,주간,1,1,1,True,0,caf2616a9d5ec82788b0ce97e0445b8b575d0533,True,
Training,Training/images/고철류/고철/12_X004_C055_1027/12_X004_C055_1027_4.jpg,Training/labels/고철류/고철/12_X004_C055_1027/12_X004_C055_1027_4.json,12_X004_C055_1027_4.jpg,고철류,고철,고철류/고철,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,d3dd3ee9e222f429ab78db9f2a8fe9fd0efb67f9,True,
Training,Training/images/고철류/고철/12_X006_C195_1117/12_X006_C195_1117_3.jpg,Training/labels/고철류/고철/12_X006_C195_1117/12_X006_C195_1117_3.json,12_X006_C195_1117_3.jpg,고철류,고철,고철류/고철,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,2a28508c3019f6e0d4f82dd7a64417ad6a65580b,True,
Training,Training/images/고철류/고철/12_X009_C024_1214/12_X009_C024_1214_5.jpg,Training/labels/고철류/고철/12_X009_C024_1214/12_X009_C024_1214_5.json,12_X009_C024_1214_5.jpg,고철류,고철,고철류/고철,1920,1080,1920,1080,True,실외,주간,2,2,2,True,0,a4b36a4013887613a16127d562325a7ce6bb4833,True,
Training,Training/images/고철류/고철/12_X010_C193_1208/12_X010_C193_1208_4.jpg,Training/labels/고철류/고철/12_X010_C193_1208/12_X010_C193_1208_4.json,12_X010_C193_1208_4.jpg,고철류,고철,고철류/고철,1920,1440,1920,1440,True,실외,주간,2,2,2,True,0,db27bafb0cfa8f18e4f740cc4bc8fd9e6d399363,True,
Training,Training/images/고철류/고철/12_X046_C900_1218/12_X046_C900_1218_0.jpg,Training/labels/고철류/고철/12_X046_C900_1218/12_X046_C900_1218_0.json,12_X046_C900_1218_0.jpg,고철류,고철,고철류/고철,1920,1920,1920,1920,True,실외,주간,1,1,1,True,0,c49797c01d2e881f58c494869f35ecabe9dde48b,True,
Training,Training/images/고철류/고철/12_X058_C803_0218/12_X058_C803_0218_2.jpg,Training/labels/고철류/고철/12_X058_C803_0218/12_X058_C803_0218_2.json,12_X058_C803_0218_2.jpg,고철류,고철,고철류/고철,1922,1081,1922,1081,True,실외,주간,1,1,1,True,0,7467f38e6e779f41ed2e1c6f8fc16dbff5505b5b,True,
Training,Training/images/고철류/골프채/12_X011_C976_0319/12_X011_C976_0319_0.jpg,Training/labels/고철류/골프채/12_X011_C976_0319/12_X011_C976_0319_0.json,12_X011_C976_0319_0.jpg,고철류,골프채,고철류/골프채,1440,1921,1440,1921,True,실외,주간,1,1,1,True,0,767536bd6ca6e58746417c83f83d0a26738da420,True,
