split,image_member,json_member,object_index,folder_target_class,object_major,object_detail,object_class,is_target_object,is_known_training_class,source_geometry,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area_ratio,bbox_aspect_ratio
Training,Training/images/고철류/고철/12_X001_C024_1123/12_X001_C024_1123_1.jpg,Training/labels/고철류/고철/12_X001_C024_1123/12_X001_C024_1123_1.json,0,고철류/고철,고철류,고철,고철류/고철,True,True,BOX,86.0,379.0,1798.0,771.0,1712.0,392.0,0.32364197530864197,4.36734693877551
Training,Training/images/고철류/고철/12_X002_C023_1211/12_X002_C023_1211_4.jpg,Training/labels/고철류/고철/12_X002_C023_1211/12_X002_C023_1211_4.json,0,고철류/고철,고철류,고철,고철류/고철,True,True,BOX,279.0,532.0,945.0,823.0,666.0,291.0,0.09346354166666666,2.288659793814433
Training,Training/images/고철류/고철/12_X002_C023_1211/12_X002_C023_1211_4.jpg,Training/labels/고철류/고철/12_X002_C023_1211/12_X002_C023_1211_4.json,1,고철류/고철,고철류,고철,고철류/고철,True,True,BOX,1027.0,401.0,1623.0,692.0,596.0,291.0,0.0836400462962963,2.0481099656357387
Training,Training/images/고철류/고철/12_X003_C044_1105/12_X003_C044_1105_0.jpg,Training/labels/고철류/고철/12_X003_C044_1105/12_X003_C044_1105_0.json,0,고철류/고철,고철류,고철,고철류/고철,True,True,POLYGON->BOX,339.0,734.0,3327.0,1964.0,2988.0,1230.0,0.3014278628117914,2.4292682926829268
Training,Training/images/고철류/고철/12_X004_C055_1027/12_X004_C055_1027_4.jpg,Training/labels/고철류/고철/12_X004_C055_1027/12_X004_C055_1027_4.json,0,고철류/고철,고철류,고철,고철류/고철,True,True,BOX,687.0,198.0,1452.0,867.0,765.0,669.0,0.185107421875,1.1434977578475336
Training,Training/images/고철류/고철/12_X006_C195_1117/12_X006_C195_1117_3.jpg,Training/labels/고철류/고철/12_X006_C195_1117/12_X006_C195_1117_3.json,0,고철류/고철,고철류,고철,고철류/고철,True,True,BOX,781.0,279.0,1258.0,1012.0,477.0,733.0,0.12646158854166667,0.6507503410641201
Training,Training/images/고철류/고철/12_X009_C024_1214/12_X009_C024_1214_5.jpg,Training/labels/고철류/고철/12_X009_C024_1214/12_X009_C024_1214_5.json,0,고철류/고철,고철류,고철,고철류/고철,True,True,BOX,767.0,197.0,1239.0,514.0,472.0,317.0,0.07215663580246913,1.4889589905362777
Training,Training/images/고철류/고철/12_X009_C024_1214/12_X009_C024_1214_5.jpg,Training/labels/고철류/고철/12_X009_C024_1214/12_X009_C024_1214_5.json,1,고철류/고철,고철류,고철,고철류/고철,True,True,BOX,748.0,591.0,1356.0,1002.0,608.0,411.0,0.12050925925925926,1.4793187347931873
Training,Training/images/고철류/고철/12_X010_C193_1208/12_X010_C193_1208_4.jpg,Training/labels/고철류/고철/12_X010_C193_1208/12_X010_C193_1208_4.json,0,고철류/고철,고철류,고철,고철류/고철,True,True,BOX,396.0,218.0,954.0,486.0,558.0,268.0,0.05408854166666666,2.082089552238806
Training,Training/images/고철류/고철/12_X010_C193_1208/12_X010_C193_1208_4.jpg,Training/labels/고철류/고철/12_X010_C193_1208/12_X010_C193_1208_4.json,1,고철류/고철,고철류,고철,고철류/고철,True,True,BOX,1065.0,268.0,1711.0,515.0,646.0,247.0,0.057711950231481485,2.6153846153846154
Training,Training/images/고철류/고철/12_X046_C900_1218/12_X046_C900_1218_0.jpg,Training/labels/고철류/고철/12_X046_C900_1218/12_X046_C900_1218_0.json,0,고철류/고철,고철류,고철,고철류/고철,True,True,POLYGON->BOX,614.0,980.0,775.0,1131.0,161.0,151.0,0.006594780815972222,1.0662251655629138
