epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,389.763,0.3127,8.90249,0.00687,0.00991,0.66147,0.02736,0.0264,0.29348,6.22438,0.00723,0.0013911,0.0013911,0.073167
2,732.026,0.32625,6.00516,0.00716,0.23505,0.19037,0.13517,0.13029,0.30362,4.5652,0.00742,0.002764,0.002764,0.0462861
3,1071.53,0.34975,4.49354,0.00773,0.25684,0.33867,0.2476,0.23705,0.32509,3.60653,0.00802,0.00405956,0.00405956,0.0193279
4,1400.45,0.36011,3.47914,0.00795,0.3041,0.39287,0.29056,0.2769,0.34213,3.14206,0.00847,0.00462326,0.00462326,0.0046529
5,1730.08,0.34374,2.72173,0.00757,0.37541,0.43779,0.37559,0.35966,0.32558,2.41572,0.00802,0.00440187,0.00440187,0.00440187
6,2059.41,0.32189,2.06796,0.00704,0.39097,0.46033,0.40577,0.38626,0.32779,1.98071,0.00806,0.00413255,0.00413255,0.00413255
7,2387.7,0.30498,1.56231,0.00663,0.4819,0.47685,0.46673,0.44582,0.31697,1.74409,0.00779,0.00382844,0.00382844,0.00382844
8,2716.69,0.29048,1.26199,0.00631,0.43472,0.51259,0.47867,0.45911,0.31092,1.71223,0.0076,0.00350281,0.00350281,0.00350281
9,3046.21,0.27139,1.02011,0.00588,0.4723,0.53083,0.50354,0.48349,0.30407,1.68148,0.0074,0.00316992,0.00316992,0.00316992
10,3374.31,0.25845,0.80708,0.00559,0.50085,0.52672,0.52081,0.50112,0.29008,1.62839,0.00706,0.00284429,0.00284429,0.00284429
11,3703.61,0.24406,0.61358,0.00526,0.47456,0.55882,0.52446,0.50464,0.29073,1.68623,0.00709,0.00254018,0.00254018,0.00254018
12,4032.92,0.23237,0.45785,0.005,0.52653,0.52736,0.53146,0.51163,0.28446,1.74031,0.00695,0.00227086,0.00227086,0.00227086
13,4361.75,0.22306,0.34998,0.0048,0.52464,0.56724,0.53192,0.51227,0.28621,1.76682,0.00698,0.00204811,0.00204811,0.00204811
14,4690.74,0.2132,0.26562,0.00458,0.54743,0.54174,0.53251,0.51362,0.27832,1.85322,0.00681,0.00188166,0.00188166,0.00188166
15,5019.7,0.20553,0.2277,0.00443,0.51533,0.56081,0.53864,0.51956,0.27513,1.83083,0.00669,0.00177879,0.00177879,0.00177879
