epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,367.543,0.30841,11.2174,0.00677,0.00873,0.54247,0.01345,0.01301,0.28723,9.14704,0.00701,0.00156463,0.00156463,0.00192564
2,718.358,0.28788,10.5979,0.0063,0.01064,0.74392,0.03385,0.0328,0.27845,8.73307,0.00681,0.00153722,0.00153722,0.00153722
3,1058.38,0.28051,10.1928,0.00611,0.40393,0.05347,0.05905,0.05731,0.27154,8.39181,0.00653,0.00150415,0.00150415,0.00150415
4,1419.45,0.2715,9.83718,0.00592,0.33199,0.10187,0.09199,0.08892,0.28007,8.09755,0.00682,0.00147108,0.00147108,0.00147108
5,1756.91,0.2657,9.50481,0.00576,0.27004,0.16952,0.12297,0.11958,0.26667,7.81216,0.00649,0.001438,0.001438,0.001438
6,2094.52,0.25967,9.16612,0.00563,0.27903,0.21468,0.15757,0.15312,0.26761,7.56667,0.00652,0.00140493,0.00140493,0.00140493
7,2432.62,0.25369,8.83941,0.00548,0.27311,0.2503,0.1949,0.18983,0.26689,7.3003,0.00652,0.00137185,0.00137185,0.00137185
8,2767.93,0.25199,8.53858,0.00545,0.2785,0.29849,0.22851,0.22218,0.26379,7.06889,0.00643,0.00133878,0.00133878,0.00133878
9,3098.54,0.24661,8.2271,0.00532,0.27867,0.32956,0.25698,0.24994,0.26129,6.82877,0.00637,0.00130571,0.00130571,0.00130571
10,3480.47,0.24595,7.93938,0.0053,0.28381,0.36021,0.2725,0.26445,0.26493,6.64493,0.00643,0.00127263,0.00127263,0.00127263
11,3874.37,0.2421,7.68049,0.00521,0.3074,0.36452,0.30034,0.29213,0.26051,6.44755,0.00634,0.00123956,0.00123956,0.00123956
12,4208.33,0.23877,7.40736,0.00514,0.3094,0.39592,0.31602,0.30683,0.25736,6.25163,0.00625,0.00120648,0.00120648,0.00120648
13,4552.93,0.23825,7.1445,0.00513,0.31232,0.40857,0.32532,0.3155,0.25613,6.09071,0.00623,0.00117341,0.00117341,0.00117341
14,4895.4,0.23312,6.89331,0.00501,0.34106,0.39742,0.34294,0.33307,0.25719,5.91689,0.00624,0.00114034,0.00114034,0.00114034
15,5232.75,0.23183,6.65241,0.00497,0.35285,0.43171,0.36072,0.35058,0.25695,5.7368,0.00623,0.00110726,0.00110726,0.00110726
16,5564.44,0.22973,6.4094,0.00493,0.37198,0.41443,0.36403,0.35225,0.25768,5.59363,0.00623,0.00107419,0.00107419,0.00107419
17,5920.79,0.22734,6.17119,0.00488,0.3661,0.4238,0.37159,0.36018,0.25808,5.4295,0.00626,0.00104112,0.00104112,0.00104112
18,6280.7,0.2275,5.93418,0.00488,0.38809,0.39811,0.3831,0.37022,0.2567,5.28637,0.00622,0.00100804,0.00100804,0.00100804
19,6639.14,0.22546,5.70962,0.00485,0.36519,0.447,0.38353,0.37241,0.25678,5.14274,0.00621,0.000974968,0.000974968,0.000974968
20,6996.27,0.22305,5.47605,0.00479,0.36857,0.43887,0.38981,0.3776,0.25742,4.99826,0.00623,0.000941894,0.000941894,0.000941894
21,7355.44,0.22121,5.26311,0.00474,0.38242,0.43855,0.38753,0.37605,0.2552,4.85859,0.00618,0.00090882,0.00090882,0.00090882
22,7706.12,0.21692,5.04321,0.00464,0.37414,0.43888,0.39616,0.38443,0.25487,4.70603,0.00618,0.000875746,0.000875746,0.000875746
23,8048.77,0.21798,4.83528,0.00467,0.38129,0.42959,0.39685,0.38516,0.25312,4.57727,0.00615,0.000842672,0.000842672,0.000842672
24,8392.13,0.21686,4.63477,0.00463,0.3929,0.42876,0.39565,0.38354,0.25485,4.46808,0.00619,0.000809598,0.000809598,0.000809598
25,8735.02,0.21351,4.42713,0.00455,0.37054,0.46483,0.40575,0.39313,0.25443,4.33275,0.00616,0.000776524,0.000776524,0.000776524
26,9079.65,0.21247,4.24834,0.00454,0.37469,0.44875,0.40287,0.38981,0.2543,4.23487,0.00615,0.00074345,0.00074345,0.00074345
27,9423.66,0.21161,4.07502,0.00452,0.40975,0.42748,0.40707,0.39488,0.25503,4.1124,0.00618,0.000710377,0.000710377,0.000710377
28,9750.41,0.20921,3.90559,0.00447,0.3701,0.4637,0.40921,0.39651,0.25366,4.01892,0.00614,0.000677303,0.000677303,0.000677303
29,10076.6,0.20881,3.75395,0.00445,0.38642,0.4649,0.41043,0.39844,0.25361,3.90876,0.00616,0.000644229,0.000644229,0.000644229
30,10402.1,0.2064,3.60606,0.0044,0.37268,0.46904,0.41159,0.39888,0.25317,3.8257,0.00614,0.000611155,0.000611155,0.000611155
31,10727.7,0.20572,3.46115,0.00438,0.39522,0.44144,0.41041,0.39803,0.25144,3.7516,0.00609,0.000578081,0.000578081,0.000578081
32,11053.6,0.2043,3.34347,0.00435,0.40026,0.42874,0.4125,0.4002,0.25316,3.67887,0.00613,0.000545007,0.000545007,0.000545007
33,11379.6,0.20367,3.21801,0.00434,0.40257,0.43918,0.41249,0.40005,0.25182,3.59619,0.0061,0.000511933,0.000511933,0.000511933
